agent_id,elliq_text,user_text,group_id,memory_name,entity,value
eqc-texas-076,Wanna workout together?,her son ended up being $15,009e296b-45e7-4e0e-9b75-9663b9e6823a,relationship,type,son
ga-penn-0186,Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,activity,type,activity
ga-penn-0186,Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,activity,name,watching_tv
eqc-florida-202,,goodbye little one and i are going for a walk now,00a8f9d1-7619-4cdc-92fd-5412d5caffde,place,intent,will_visit
eqc-florida-202,,goodbye little one and i are going for a walk now,00a8f9d1-7619-4cdc-92fd-5412d5caffde,activity,type,activity
eqc-florida-202,,goodbye little one and i are going for a walk now,00a8f9d1-7619-4cdc-92fd-5412d5caffde,activity,name,walking
nysofa-tompkins-0339,,read little women,00c427b6-f619-408d-bbea-ba2521a36b98,activity,type,activity
nysofa-tompkins-0339,,read little women,00c427b6-f619-408d-bbea-ba2521a36b98,activity,name,reading
nysofa-rockland-0115,"I'm sorry, but I'm still struggling to understand. You can say the number next to the name of the station, or try repeating the station name",right in their own backyard,00c7ea61-1a38-4e19-b751-aaf1c156bc49,place,intent,will_visit
nysofa-rockland-0115,"I'm sorry, but I'm still struggling to understand. You can say the number next to the name of the station, or try repeating the station name",right in their own backyard,00c7ea61-1a38-4e19-b751-aaf1c156bc49,place,name,yard
nysofa-chautauqua-0173,Got any plans today?,therapy,00c93949-cb4a-460f-89ef-9bc7531bb7d5,place,intent,will_visit
nysofa-chautauqua-0173,Got any plans today?,therapy,00c93949-cb4a-460f-89ef-9bc7531bb7d5,activity,type,activity
nysofa-chautauqua-0173,Got any plans today?,therapy,00c93949-cb4a-460f-89ef-9bc7531bb7d5,activity,name,therapy
eqc-iowa-160,Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,place,intent,will_visit
eqc-iowa-160,Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,place,name,dinner
eqc-iowa-160,Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,place,name,church
nysofa-greene-0101,,shooting was shooting,00f283dc-bef0-4a59-a57a-ac41b6245948,activity,type,hobbies
nysofa-greene-0101,,shooting was shooting,00f283dc-bef0-4a59-a57a-ac41b6245948,activity,name,"shooting,shooting"
ga-florida-0072,,play pop princesses,0105080a-e0a8-461e-b1cb-4cd679deeda2,activity,type,activity
ga-florida-0072,,play pop princesses,0105080a-e0a8-461e-b1cb-4cd679deeda2,activity,name,play
ga-florida-0072,,play pop princesses,0105080a-e0a8-461e-b1cb-4cd679deeda2,relationship,type,father
broward-florida-0014,"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,place,intent,visited
broward-florida-0014,"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,place,name,breakfast
broward-florida-0014,"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,activity,type,meal
broward-florida-0014,"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,activity,name,breakfast
ga-florida-0039,tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,place,intent,will_visit
ga-florida-0039,tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,activity,type,activity
ga-florida-0039,tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,activity,name,haircut
fd-mass-030,Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,place,intent,will_visit
fd-mass-030,Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,activity,type,activity
fd-mass-030,Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,activity,name,walk the dog
ga-ny-0147,Are you free for a moment?,dinner i'd make her a nice ham and cheese omelette so she'd have a hot dinner but i cooked for her i cooked plenty for her,01281d7d-0453-41a8-93ce-a4edda8dabf3,activity,type,activity
ga-ny-0147,Are you free for a moment?,dinner i'd make her a nice ham and cheese omelette so she'd have a hot dinner but i cooked for her i cooked plenty for her,01281d7d-0453-41a8-93ce-a4edda8dabf3,activity,name,cooking
ir-insiders-sofia007,Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,place,intent,will_visit
ir-insiders-sofia007,Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,place,people,daughter
ohel-ny-0003,Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,place,intent,will_visit
ohel-ny-0003,Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,activity,type,activity
ohel-ny-0003,Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,activity,name,work
eqc-iowa-263,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,01334d75-c53b-4968-9882-f7841605a1d1,relationship,type,sister
nysofa-nyc-0187,Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,place,intent,will_visit
nysofa-nyc-0187,Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,activity,type,activity
nysofa-nyc-0187,Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,activity,name,meeting
ymow-michigan-0012,I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,activity,type,activity
ymow-michigan-0012,I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,activity,name,watching_tv
broward-florida-0027,Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,place,intent,will_visit
broward-florida-0027,Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,activity,type,activity
broward-florida-0027,Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,activity,name,meeting
nysofa-chautauqua-0076,Do you have any important plans for today?,take a good look around this is your hometown the corner store,013e626d-dad9-465c-8ec7-30f4637e1e81,place,intent,will_visit
nysofa-chautauqua-0076,Do you have any important plans for today?,take a good look around this is your hometown the corner store,013e626d-dad9-465c-8ec7-30f4637e1e81,place,name,shopping center
ir-temp-90593,,she's delayed she heard me elliq i'm here with my friend todd,014470dd-0776-4a8b-a955-5b15b55c1d5e,relationship,type,friend
eqc-florida-272,I'm still having some trouble comprehending. Can you please say the station name you'd like to listen to,husbands who have recently died,0178b6e3-4df3-4867-8167-c79d46d174a6,relationship,type,husband
eqc-florida-202,"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,place,intent,will_visit
eqc-florida-202,"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,activity,type,activity
eqc-florida-202,"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,activity,name,shopping
ga-wash-0189,Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,place,intent,will_visit
ga-wash-0189,Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,activity,type,activity
ga-wash-0189,Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,activity,name,movie
ga-florida-0182,I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,activity,type,activity
ga-florida-0182,I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,activity,name,cooking
eqc-ny-003,"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,place,intent,visited
eqc-ny-003,"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,place,name,York
eqc-scarolina-310,"I’m wondering, are you meeting up with anyone?",yes my doctor,01c0ff9f-065f-40d5-960f-d4e43e638ded,place,intent,will_visit
eqc-scarolina-310,"I’m wondering, are you meeting up with anyone?",yes my doctor,01c0ff9f-065f-40d5-960f-d4e43e638ded,activity,type,activity
eqc-scarolina-310,"I’m wondering, are you meeting up with anyone?",yes my doctor,01c0ff9f-065f-40d5-960f-d4e43e638ded,activity,name,doctor
nysofa-otsego-0235,,say hello to my friend christy,01f50dd7-c6b3-4642-ba66-c46c23097d78,relationship,type,friend
ir-vip-067,,i have two daughters,020fb6d8-1a42-4140-8700-b154a1bada04,relationship,type,daughters
ga-ny-0221,,i'm going to take your advice and go out for a walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,place,intent,will_visit
ga-ny-0221,,i'm going to take your advice and go out for a walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,activity,type,activity
ga-ny-0221,,i'm going to take your advice and go out for a walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,activity,name,walking
indy-cali-019,are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,place,intent,will_visit
indy-cali-019,are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,place,name,lunch
indy-cali-019,are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,activity,type,meal
indy-cali-019,are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,activity,name,lunch
ymow-michigan-0021,Was today another great day for you?,play i get to go outside is a great day,02379d79-a467-48d7-b4c8-26b14f53db3a,place,intent,will_visit
ymow-michigan-0021,Was today another great day for you?,play i get to go outside is a great day,02379d79-a467-48d7-b4c8-26b14f53db3a,activity,type,activity
ymow-michigan-0021,Was today another great day for you?,play i get to go outside is a great day,02379d79-a467-48d7-b4c8-26b14f53db3a,activity,name,play
nysofa-schuyler-0274,"OK, question for ya. What was one thing that pleasantly surprised you this week?",their son net worth,023c737c-758f-4ea4-bf68-955bc9c131d8,relationship,type,son
eqc-ohio-099,,and it went i'm mark.,0246c8d4-1eb0-43e2-a318-870fe83105cd,place,intent,visited
eqc-ohio-099,,and it went i'm mark.,0246c8d4-1eb0-43e2-a318-870fe83105cd,place,people,Mark
nysofa-broome-0043,I was wondering if you had a moment?,call meeting,026d4757-5c52-4fdb-b888-8b5a8d6d41d8,activity,type,activity
nysofa-broome-0043,I was wondering if you had a moment?,call meeting,026d4757-5c52-4fdb-b888-8b5a8d6d41d8,activity,name,meeting
ga-florida-0129,,a grilled cheese sandwich for dinner tonight,026ea1b2-6827-445e-8326-9c8606cdef34,activity,type,activity
ga-florida-0129,,a grilled cheese sandwich for dinner tonight,026ea1b2-6827-445e-8326-9c8606cdef34,activity,name,cooking
ga-colorado-0133,"This work by Camille Pissarro is called: ‘Two women chatting by the sea’. Where in the world is it set?, Choose from: option one: Saint Thomas, two: Tahiti, or three: Bermuda",and think they could happened and saying they're the pool comes from a bridge,02818295-4d8a-4ddb-86a6-d90286323982,place,intent,will_visit
o3a-wash-0005,,i'm going to go buy groceries,02a35e9b-f166-4a8c-a7d5-511c329ac13c,place,intent,will_visit
o3a-wash-0005,,i'm going to go buy groceries,02a35e9b-f166-4a8c-a7d5-511c329ac13c,activity,type,activity
o3a-wash-0005,,i'm going to go buy groceries,02a35e9b-f166-4a8c-a7d5-511c329ac13c,activity,name,groceries
nysofa-westchester-0022,"what can i help you with <say-as interpret-as=""name"">Marie</say-as>?",nothing by dire i was just walking around,02ae10a3-2060-4371-9b87-c1b4fde0b0dd,activity,type,physical_activity
nysofa-westchester-0022,"what can i help you with <say-as interpret-as=""name"">Marie</say-as>?",nothing by dire i was just walking around,02ae10a3-2060-4371-9b87-c1b4fde0b0dd,activity,name,walking
broward-florida-0036,Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,02d1abbb-1ed8-458e-88eb-9337c82a9ca3,place,intent,will_visit
broward-florida-0036,Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,02d1abbb-1ed8-458e-88eb-9337c82a9ca3,place,name,church
eqc-florida-202,,goodbye i'm taking little one for her walk now,02ded607-b205-4587-a067-aad7eec898d5,place,intent,will_visit
eqc-florida-202,,goodbye i'm taking little one for her walk now,02ded607-b205-4587-a067-aad7eec898d5,activity,type,activity
eqc-florida-202,,goodbye i'm taking little one for her walk now,02ded607-b205-4587-a067-aad7eec898d5,activity,name,walking
eqc-florida-288,Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,place,intent,will_visit
eqc-florida-288,Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,place,name,grocery store
nysofa-greg-001,,can you send my son a text,02ecb79a-451a-4168-9bbc-d5224c25d5f5,relationship,type,son
ir-temp-7220022,how's your day going so far?,pretty good i went to church i went to church this morning,02fd2bb9-ee9e-4553-84b2-f8b422274a9e,place,intent,will_visit
ga-iowa-0116,Do you want to workout together?,about to meet the future in-laws,030a0d7b-e138-42db-99ad-bde700ee1c7b,activity,type,activity
ga-iowa-0116,Do you want to workout together?,about to meet the future in-laws,030a0d7b-e138-42db-99ad-bde700ee1c7b,activity,name,meeting
nysofa-tompkins-0339,Is there anything special planned for tomorrow?,grocery shopping,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7,place,intent,will_visit
nysofa-tompkins-0339,Is there anything special planned for tomorrow?,grocery shopping,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7,activity,type,activity
nysofa-tompkins-0339,Is there anything special planned for tomorrow?,grocery shopping,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7,activity,name,shopping
nysofa-nyc-0102,"Oh, are you heading out now?",and a few i'm going to the doctor,0328c848-db6b-4bfb-9847-2233fb22ce5a,place,intent,will_visit
nysofa-nyc-0102,"Oh, are you heading out now?",and a few i'm going to the doctor,0328c848-db6b-4bfb-9847-2233fb22ce5a,activity,type,activity
nysofa-nyc-0102,"Oh, are you heading out now?",and a few i'm going to the doctor,0328c848-db6b-4bfb-9847-2233fb22ce5a,activity,name,doctor
eqc-texas-056,Want to go for one last round?,one last run,0336b930-19d9-4b8c-a4c1-e74f035a0adf,activity,type,physical_activity
eqc-texas-056,Want to go for one last round?,one last run,0336b930-19d9-4b8c-a4c1-e74f035a0adf,activity,name,running
nysofa-chautauqua-0076,Is this a convenient time?,when i'm in a place where i feel really class,0355c180-7014-48a2-99ee-7f10203fb3d6,place,intent,visited
nysofa-chautauqua-0076,Is this a convenient time?,when i'm in a place where i feel really class,0355c180-7014-48a2-99ee-7f10203fb3d6,activity,type,activity
nysofa-chautauqua-0076,Is this a convenient time?,when i'm in a place where i feel really class,0355c180-7014-48a2-99ee-7f10203fb3d6,activity,name,class
nysofa-greene-0101,,all right i have to run okay,03560e12-7fa7-405c-bfcb-59005feac9be,activity,type,physical_activity
nysofa-greene-0101,,all right i have to run okay,03560e12-7fa7-405c-bfcb-59005feac9be,activity,name,running
nysofa-nyc-0018,,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,03622500-50f6-468f-ab8c-7100dc4f4c52,place,intent,will_visit
nysofa-nyc-0018,,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,03622500-50f6-468f-ab8c-7100dc4f4c52,activity,type,activity
nysofa-nyc-0018,,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,03622500-50f6-468f-ab8c-7100dc4f4c52,activity,name,class
o3a-wash-0005,Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,036f68ce-d8ac-446b-ad35-72b05e489191,place,intent,will_visit
o3a-wash-0005,Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,036f68ce-d8ac-446b-ad35-72b05e489191,place,name,yard
ga-florida-0197,,my son bob is here,038b393c-7a1e-457a-bed8-74ecc4953d0d,relationship,type,son
nysofa-nyc-0164,,play scrabble,038f559d-3dc7-4f31-af56-254687cc4996,activity,type,hobbies
nysofa-nyc-0164,,play scrabble,038f559d-3dc7-4f31-af56-254687cc4996,activity,name,scrabble
nysofa-dutchess-0233,Do you have anything planned for tomorrow?,yes i'm going to church in the morning,039a8019-8a9a-4d75-8cf6-db818b2fa64b,place,intent,will_visit
nysofa-dutchess-0233,Do you have anything planned for tomorrow?,yes i'm going to church in the morning,039a8019-8a9a-4d75-8cf6-db818b2fa64b,place,name,church
vns-ny-0006,,i'm back from lunch,03b73671-49ad-44ed-a865-69af892b7f8b,place,intent,visited
vns-ny-0006,,i'm back from lunch,03b73671-49ad-44ed-a865-69af892b7f8b,place,name,lunch
vns-ny-0006,,i'm back from lunch,03b73671-49ad-44ed-a865-69af892b7f8b,activity,type,meal
vns-ny-0006,,i'm back from lunch,03b73671-49ad-44ed-a865-69af892b7f8b,activity,name,lunch
nysofa-westchester-0022,,my niece,03b7ef8c-8734-4c12-8d10-36148d3e0d43,relationship,type,niece
eqc-florida-289,,that's why you smell the febreze in here smells like dead roses spray that kills the munchies,03bbf265-d1fb-48ca-a23a-4781e36c901a,favorite,type,flower
eqc-florida-289,,that's why you smell the febreze in here smells like dead roses spray that kills the munchies,03bbf265-d1fb-48ca-a23a-4781e36c901a,favorite,name,Rose
nysofa-schenectady-0165,are you available right now?,crocheting so my legs and,03c05bfa-cc2c-4a37-b892-6d706c7b45bd,activity,type,hobbies
nysofa-schenectady-0165,are you available right now?,crocheting so my legs and,03c05bfa-cc2c-4a37-b892-6d706c7b45bd,activity,name,crocheting
eqc-iowa-263,Is now a good time to hang out?,so i'm kind of there's a parade today on television,03ce5925-a40a-48c9-8a7e-b0f1e0651903,activity,type,activity
eqc-iowa-263,Is now a good time to hang out?,so i'm kind of there's a parade today on television,03ce5925-a40a-48c9-8a7e-b0f1e0651903,activity,name,watching_tv
nysofa-westchester-0350,,can you say hello to my friend solomon,03d125f2-eeaf-4792-896e-e8c866a22319,relationship,type,friend
nysofa-tompkins-0354,,something i like is science but outer outer space stuff,03d2e074-a316-48dd-b5c1-1ad6ca5ed667,favorite,type,school_subject
nysofa-tompkins-0354,,something i like is science but outer outer space stuff,03d2e074-a316-48dd-b5c1-1ad6ca5ed667,favorite,name,science
ga-florida-0127,Do you have any important plans for tomorrow?,visit my sister in the hospital,03d8e7ec-744b-40b6-a7d0-7aef1e17d6cc,relationship,type,sister
indy-florida-021,"Lovely, what are you up to today?",going for a walk,03e6daaf-45d9-4079-8745-92dc8718cacb,place,intent,will_visit
indy-florida-021,"Lovely, what are you up to today?",going for a walk,03e6daaf-45d9-4079-8745-92dc8718cacb,activity,type,activity
indy-florida-021,"Lovely, what are you up to today?",going for a walk,03e6daaf-45d9-4079-8745-92dc8718cacb,activity,name,walking
o3a-wash-0001,Hmmm. so who would be our ideal road trip companion?,my son,03ee88b5-7ed5-4a95-8e7c-04f4e84a0993,relationship,type,son
broward-florida-0036,Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,03f33106-b3dc-4fa3-8732-38d395025542,place,intent,will_visit
broward-florida-0036,Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,03f33106-b3dc-4fa3-8732-38d395025542,place,name,"church,church"
fd-mass-019,Is now a good time?,no my daughter is coming we're going shopping,042dd828-fb16-4ab3-a910-90e3128f3e00,place,intent,will_visit
fd-mass-019,Is now a good time?,no my daughter is coming we're going shopping,042dd828-fb16-4ab3-a910-90e3128f3e00,activity,type,activity
fd-mass-019,Is now a good time?,no my daughter is coming we're going shopping,042dd828-fb16-4ab3-a910-90e3128f3e00,activity,name,shopping
fd-mass-019,Is now a good time?,no my daughter is coming we're going shopping,042dd828-fb16-4ab3-a910-90e3128f3e00,relationship,type,daughter
nysofa-chautauqua-0076,"How wonderful, what are your plans for today?",lunch with friends,04373049-ddb4-4e30-9005-fc9a8104fdc3,place,intent,visited
nysofa-chautauqua-0076,"How wonderful, what are your plans for today?",lunch with friends,04373049-ddb4-4e30-9005-fc9a8104fdc3,activity,type,activity
nysofa-chautauqua-0076,"How wonderful, what are your plans for today?",lunch with friends,04373049-ddb4-4e30-9005-fc9a8104fdc3,activity,name,friends
ga-florida-0129,Would you like to play again?,i'm going for breakfast no i'm going for breakfast right now i'll be back,044e186b-f923-4baf-93bf-6b38c9d10d92,place,intent,will_visit
ga-florida-0129,Would you like to play again?,i'm going for breakfast no i'm going for breakfast right now i'll be back,044e186b-f923-4baf-93bf-6b38c9d10d92,place,name,breakfast
ga-florida-0129,Would you like to play again?,i'm going for breakfast no i'm going for breakfast right now i'll be back,044e186b-f923-4baf-93bf-6b38c9d10d92,activity,type,meal
ga-florida-0129,Would you like to play again?,i'm going for breakfast no i'm going for breakfast right now i'll be back,044e186b-f923-4baf-93bf-6b38c9d10d92,activity,name,breakfast
ga-wash-0189,Would you like to hear a bible quote?,so when the afternoon so they keep the appointment then at 11 for the,04579685-78d6-4148-bf5e-30d2defd92b2,place,intent,will_visit
ga-wash-0189,Would you like to hear a bible quote?,so when the afternoon so they keep the appointment then at 11 for the,04579685-78d6-4148-bf5e-30d2defd92b2,activity,type,activity
ga-wash-0189,Would you like to hear a bible quote?,so when the afternoon so they keep the appointment then at 11 for the,04579685-78d6-4148-bf5e-30d2defd92b2,activity,name,meeting
eqc-ohio-022,Do you have any plans for today?,i have to go to work,0459d386-ef3c-41a4-ae9c-d54092324508,place,intent,will_visit
eqc-ohio-022,Do you have any plans for today?,i have to go to work,0459d386-ef3c-41a4-ae9c-d54092324508,activity,type,activity
eqc-ohio-022,Do you have any plans for today?,i have to go to work,0459d386-ef3c-41a4-ae9c-d54092324508,activity,name,work
ga-florida-0129,,i mean green grass with me and my daughter and some sunshine,0466258f-144a-45b3-b2a8-3139f2c48601,place,intent,will_visit
eqc-arizona-302,"I was wondering, have you eaten anything yet?",i want federer everywhere last year,0468409d-de0b-4307-bad0-9149fd46db6d,activity,type,physical_activity
eqc-florida-213,"Which one of the following rhythm games was made by Harmonix?. Meat Beat Mania, Rock Band, or Guitar Hero Live",let me mania meet beat,04712fae-ed0e-4fb8-93b6-44a79d159702,activity,type,activity
eqc-florida-213,"Which one of the following rhythm games was made by Harmonix?. Meat Beat Mania, Rock Band, or Guitar Hero Live",let me mania meet beat,04712fae-ed0e-4fb8-93b6-44a79d159702,activity,name,meeting
ga-michigan-0204,Wanna hit the road and take a fun trip with me?,i'd like to take a trip but i want to know where i'm going,04715468-c015-4422-91ed-1308146e27a6,place,intent,will_visit
ga-michigan-0204,Wanna hit the road and take a fun trip with me?,i'd like to take a trip but i want to know where i'm going,04715468-c015-4422-91ed-1308146e27a6,activity,type,activity
ga-michigan-0204,Wanna hit the road and take a fun trip with me?,i'd like to take a trip but i want to know where i'm going,04715468-c015-4422-91ed-1308146e27a6,activity,name,trip
ga-florida-0039,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i just have to work today honey i'll take it slow,0474fc7f-29b8-4404-968b-799717345894,place,intent,will_visit
ga-florida-0039,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i just have to work today honey i'll take it slow,0474fc7f-29b8-4404-968b-799717345894,activity,type,activity
ga-florida-0039,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i just have to work today honey i'll take it slow,0474fc7f-29b8-4404-968b-799717345894,activity,name,work
nysofa-nyc-0153,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",my son,0485fc2a-433e-454d-b576-fe28170f1e05,relationship,type,son
nysofa-nyc-0153,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",my friend louise,048e8d72-5d3e-47ea-b952-304d56912fad,relationship,type,friend
ga-virginia-0011,Do you have any important plans for today?,yes i'm going to work in a few minutes,04966987-ddda-48a5-8023-51cae4f477f8,place,intent,will_visit
ga-virginia-0011,Do you have any important plans for today?,yes i'm going to work in a few minutes,04966987-ddda-48a5-8023-51cae4f477f8,activity,type,activity
