agent_id,memory_name,entity,value,user_text,elliq_text,client_time
nysofa-sullivan-0052,activity,type,activity,well i had to go shopping for food,"So, how was it out there? Tell me all about it.",2023-01-05 18:17:59 UTC
eqc-florida-202,activity,type,activity,i'm taking the dog for a walk now,Yes?,2023-01-05 15:00:46 UTC
nysofa-suffolk-0031,activity,type,activity,the doctor,"Oh I'm curious, where did you go?",2023-01-05 20:08:50 UTC
nysofa-broome-0043,activity,type,activity,no not right now i'm watching the news,is now a good time?,2023-01-05 17:07:17 UTC
eqc-arizona-302,activity,type,activity,nbc news correspondent on hilliard still record at the national editor of the washington post is also here also with nbc political analyst and the co-author of a very stable genius sound from testing of them and to miller right are largely bulwark in the former communications director for jeb bush's 2016 presidential 1,"",2023-01-05 15:39:01 UTC
nysofa-nyc-0018,activity,type,activity,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,"",2023-01-05 17:09:27 UTC
fd-mass-019,activity,type,activity,no i'm going out i'm going shopping,Are you free for a few minutes?,2023-01-05 14:11:06 UTC
eqc-colorado-239,activity,type,activity,doctor appointment,"Great, what are your plans?",2023-01-05 15:10:57 UTC
nysofa-nyc-0010,activity,type,activity,i'm making lunch okay,"",2023-01-05 17:27:50 UTC
eqc-arizona-302,activity,type,activity,to meet at a tuned for details,"",2023-01-05 13:59:37 UTC
nysofa-nyc-0010,activity,type,activity,i'm in the kitchen making lunch,Yes?,2023-01-05 17:29:23 UTC
eqc-florida-237,activity,type,activity,i remember coming home to her crying at the scene where sally fields breaks down at her daughter's funeral,Did you have a pleasant day today?,2023-01-05 03:15:34 UTC
nysofa-nyc-0034,activity,type,activity,walking home from school,are you free for a minute?,2023-01-05 14:35:49 UTC
nysofa-greene-0101,activity,type,activity,the doorway most time and show,"",2023-01-05 18:34:36 UTC
ir-vip-033,activity,type,activity,i'm going to work,I'd like to share something with you. Do you have time right now?,2023-01-05 13:18:03 UTC
eqc-florida-202,activity,type,activity,like i can say to her i'm going grocery shopping goodbye and she'll say goodbye take care polar bear or somebody will say when i come home and hi alex asked me how was the grocery store sometimes when i'm leaving till say be sure to buy lots of fruits and vegetables so those personalized interactions that's my favorite feature,"",2023-01-05 16:16:27 UTC
indy-cali-019,activity,type,activity,so what i'm getting dressed for lunch at like you can't talk to you when i get back,I was wondering if you had a moment?,2023-01-05 17:45:11 UTC
nysofa-oswego-0053,activity,type,activity,i work at a grocery store,Do you remember your first job?,2023-01-05 23:31:35 UTC
ga-cali-0140,activity,type,activity,you should ask your doctor's appointment,"",2023-01-05 21:41:57 UTC
ga-georgia-0066,activity,type,activity,i'm watching this news right now about this election,tell me all about your day. How's it going so far?,2023-01-05 23:31:31 UTC
eqc-ohio-174,activity,type,activity,don't know if that's what you want to risk of doing right now got it i got to tell you it looks like they're making him too big too large for the game that we're trying to play right now going to go check it out,would you like me to stop offering stress reduction?,2023-01-05 02:21:50 UTC
ga-penn-0186,activity,type,activity,would you like to meet my friend jan,Would you like to try a smiling exercise?,2023-01-05 14:18:46 UTC
nysofa-greene-0101,relationship,type,daughter,my daughter went to her cousins and,"",2023-01-05 18:59:25 UTC
nysofa-nyc-0034,relationship,type,grandson,hey grandson ownership,"<mstts:express-as style=""general""> high <say-as interpret-as=""name""> </say-as></mstts:express-as>",2023-01-05 14:35:25 UTC
eqc-florida-314,place,name,hospital,i'm still not home i'm in the hospital rehab,"So, <say-as interpret-as=""name"">Donna</say-as>, tell me all about your adventure outside. Where did you go?",2023-01-05 17:22:47 UTC
nysofa-sullivan-0052,activity,name,shopping,well i had to go shopping for food,"So, how was it out there? Tell me all about it.",2023-01-05 18:17:59 UTC
fd-mass-019,activity,name,shopping,no i'm going out i'm going shopping,Are you free for a few minutes?,2023-01-05 14:11:06 UTC
eqc-florida-202,activity,name,shopping,like i can say to her i'm going grocery shopping goodbye and she'll say goodbye take care polar bear or somebody will say when i come home and hi alex asked me how was the grocery store sometimes when i'm leaving till say be sure to buy lots of fruits and vegetables so those personalized interactions that's my favorite feature,"",2023-01-05 16:16:27 UTC
nysofa-greene-0101,place,name,all kinds,no but if she was over here and she in this direction everything that goes on in the kitchen in the front door and then you said to me,"",2023-01-05 18:33:40 UTC
nysofa-greene-0101,activity,name,all kinds,no but if she was over here and she in this direction everything that goes on in the kitchen in the front door and then you said to me,"",2023-01-05 18:33:40 UTC
nysofa-greene-0101,favorite,name,ice cream,i like ice cream,"",2023-01-05 18:43:12 UTC
nysofa-nassau-0131,activity,name,crocheting,i can't crochet now,"I know you’re dealing with a bit of pain, but I wanted to ask, did you do any crocheting in the past week?",2023-01-05 04:49:01 UTC
nysofa-nyc-0090,activity,name,crocheting,crochet,How about you share a memory you have about a special family tradition?,2023-01-05 00:45:07 UTC
ir-temp-7220022,place,name,restaurant,diner 2,"In Alice in Wonderland, what is the name of Alice's kitten?. Oscar, Dinah, or Heath",2023-01-05 19:31:01 UTC
ir-vip-033,place,intent,will_visit,i'm going to work,I'd like to share something with you. Do you have time right now?,2023-01-05 13:18:03 UTC
nysofa-greene-0101,place,intent,will_visit,the doorway most time and show,"",2023-01-05 18:34:36 UTC
nysofa-nyc-0041,place,intent,will_visit,i have to go to the to the store and get my medication that's it,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",2023-01-05 20:06:11 UTC
nysofa-greene-0101,place,intent,will_visit,so she is like a kid then she's the last too long i think i'm getting more and more out of here,"",2023-01-05 18:53:28 UTC
nysofa-greene-0101,place,intent,will_visit,no but if she was over here and she in this direction everything that goes on in the kitchen in the front door and then you said to me,"",2023-01-05 18:33:40 UTC
nysofa-sullivan-0052,place,intent,will_visit,well i had to go shopping for food,"So, how was it out there? Tell me all about it.",2023-01-05 18:17:59 UTC
ga-ny-0147,place,intent,will_visit,scared cuz i've got i want the guy to cut his hair pretty much like you did last time i'm like leave it like this for sure,"",2023-01-05 18:33:46 UTC
eqc-florida-202,place,intent,will_visit,like i can say to her i'm going grocery shopping goodbye and she'll say goodbye take care polar bear or somebody will say when i come home and hi alex asked me how was the grocery store sometimes when i'm leaving till say be sure to buy lots of fruits and vegetables so those personalized interactions that's my favorite feature,"",2023-01-05 16:16:27 UTC
ga-florida-0182,place,intent,will_visit,no i'm very busy i'm getting ready to go out,I'm curious about last night. Did you sleep any better?,2023-01-05 16:01:16 UTC
indy-cali-019,place,intent,will_visit,so what i'm getting dressed for lunch at like you can't talk to you when i get back,I was wondering if you had a moment?,2023-01-05 17:45:11 UTC
fd-mass-005,place,intent,will_visit,instead of going out to dinner i have to go to the funeral home and look for a casket for him,Are you free for a moment?,2023-01-05 23:08:42 UTC
ir-temp-7220022,place,intent,will_visit,diner 2,"In Alice in Wonderland, what is the name of Alice's kitten?. Oscar, Dinah, or Heath",2023-01-05 19:31:01 UTC
indy-cali-019,place,intent,will_visit,i'm on my way to dinner so not now,I was wondering if you had a moment?,2023-01-05 22:32:42 UTC
ir-temp-7220022,place,intent,will_visit,pretty good i went to church i went to church this morning,how's your day going so far?,2023-01-05 19:38:05 UTC
nysofa-nyc-0018,place,intent,will_visit,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,"",2023-01-05 17:09:27 UTC
eqc-florida-202,place,intent,will_visit,i'm taking the dog for a walk now,Yes?,2023-01-05 15:00:46 UTC
nysofa-greene-0101,place,intent,will_visit,put in the bank and yeah so that was good and it was filled with things that i'm not using right i don't use those two extra okay,"",2023-01-05 18:36:20 UTC
ga-illinois-0168,place,intent,will_visit,okay i'm going downstairs so i can get some food i need to get something to eat and then i will be back in my room and we can talk to me,"",2023-01-05 17:05:52 UTC
ga-illinois-0168,place,intent,will_visit,you can keep playing the music but i have to leave i have to go back i'll be back in the i'll be back up here in a in a while okay,"",2023-01-05 15:22:07 UTC
eqc-colorado-239,place,intent,will_visit,doctor appointment,"Great, what are your plans?",2023-01-05 15:10:57 UTC
fd-mass-019,place,intent,will_visit,no i'm going out i'm going shopping,Are you free for a few minutes?,2023-01-05 14:11:06 UTC
eqc-florida-219,place,intent,will_visit,going out for dinner,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",2023-01-05 19:45:02 UTC
nysofa-nyc-0034,place,intent,will_visit,i'm going to the post office,"",2023-01-05 12:57:43 UTC
nysofa-nyc-0034,place,name,post office,i'm going to the post office,"",2023-01-05 12:57:43 UTC
eqc-ohio-174,activity,name,watching_tv,don't know if that's what you want to risk of doing right now got it i got to tell you it looks like they're making him too big too large for the game that we're trying to play right now going to go check it out,would you like me to stop offering stress reduction?,2023-01-05 02:21:50 UTC
eqc-arizona-302,activity,name,watching_tv,nbc news correspondent on hilliard still record at the national editor of the washington post is also here also with nbc political analyst and the co-author of a very stable genius sound from testing of them and to miller right are largely bulwark in the former communications director for jeb bush's 2016 presidential 1,"",2023-01-05 15:39:01 UTC
nysofa-broome-0043,activity,name,watching_tv,no not right now i'm watching the news,is now a good time?,2023-01-05 17:07:17 UTC
ga-georgia-0066,activity,name,watching_tv,i'm watching this news right now about this election,tell me all about your day. How's it going so far?,2023-01-05 23:31:31 UTC
nysofa-oswego-0053,place,name,grocery store,i work at a grocery store,Do you remember your first job?,2023-01-05 23:31:35 UTC
eqc-florida-202,place,name,grocery store,like i can say to her i'm going grocery shopping goodbye and she'll say goodbye take care polar bear or somebody will say when i come home and hi alex asked me how was the grocery store sometimes when i'm leaving till say be sure to buy lots of fruits and vegetables so those personalized interactions that's my favorite feature,"",2023-01-05 16:16:27 UTC
nysofa-nyc-0041,place,name,shopping center,i have to go to the to the store and get my medication that's it,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",2023-01-05 20:06:11 UTC
eqc-florida-230,activity,type,physical_activity,well it's saying physical exercise 12 pm so it's not she's not responding to my question,Was that 12 PM?,2023-01-05 15:10:42 UTC
nysofa-nyc-0034,place,intent,will_visit,yes going for a walk,Do you have anything planned for today?,2023-02-26 12:15:32 UTC
ga-arizona-0194,place,intent,will_visit,going to the movie,Do you have anything planned for today?,2023-02-26 16:45:07.058 UTC
eqc-florida-202,place,intent,will_visit,yeah i'm going to pool,Got anything important planned tomorrow?,2023-02-26 01:10:46 UTC
eqc-florida-202,place,name,pool,yeah i'm going to pool,Got anything important planned tomorrow?,2023-02-26 01:10:46 UTC
nysofa-delaware-0175,place,intent,will_visit,i'm taking cody for a walk now,"",2023-02-26 21:46:12.794 UTC
ir-support-187,place,intent,will_visit,i think i'm going to go to the movies,Do you have anything planned for today?,2023-02-26 21:04:29.624 UTC
nysofa-nyc-0038,place,intent,will_visit,now i have to go out and going shopping,Do you feel like painting another masterpiece?,2023-02-26 18:37:02.764 UTC
indy-cali-019,place,people,Dennis,i'm going to go with dennis,"So, This masterpiece by John Singer Sargent depicts a street scene in which city?, Possible answers are: Venice, Rome, and Sicily",2023-02-26 15:05:29.889 UTC
indy-cali-019,place,intent,will_visit,i'm going to go with dennis,"So, This masterpiece by John Singer Sargent depicts a street scene in which city?, Possible answers are: Venice, Rome, and Sicily",2023-02-26 15:05:29.889 UTC
ga-tenn-0211,place,intent,will_visit,i i'm going shopping,"How can I help, <say-as interpret-as=""name"">Maryrose</say-as>?",2023-02-26 15:56:02.231 UTC
eqc-indiana-151,place,intent,will_visit,i'm taking the girls shopping for today,Got anything important planned today?,2023-02-26 14:41:22.071 UTC
ir-vip-069,place,intent,will_visit,meet my friend,"",2023-02-26 19:59:52.492 UTC
nysofa-nyc-0034,place,intent,will_visit,i'm going for a walk,"",2023-02-26 12:49:06.707 UTC
indy-ny-033,place,intent,will_visit,we're going in the neighborhood,"",2023-02-26 12:55:36.35 UTC
indy-ny-033,place,name,neighborhood,we're going in the neighborhood,"",2023-02-26 12:55:36.35 UTC
nysofa-nyc-0034,activity,name,walking,yes going for a walk,Do you have anything planned for today?,2023-02-26 12:15:32 UTC
nysofa-nyc-0034,activity,type,activity,yes going for a walk,Do you have anything planned for today?,2023-02-26 12:15:32 UTC
nysofa-broome-0216,activity,type,hobbies,it's not the right time to garden yet,I know you enjoy gardening. Have you done any gardening this past week?,2023-02-26 23:44:33.98 UTC
nysofa-broome-0216,activity,name,gardening,it's not the right time to garden yet,I know you enjoy gardening. Have you done any gardening this past week?,2023-02-26 23:44:33.98 UTC
eqc-indiana-151,activity,type,activity,i'm watching tv right now,"Hiya <say-as interpret-as=""name"">Magdalena</say-as>! I was taking a quick power nap and recharging. How can I help?",2023-02-26 00:17:05 UTC
eqc-indiana-151,activity,name,watching_tv,i'm watching tv right now,"Hiya <say-as interpret-as=""name"">Magdalena</say-as>! I was taking a quick power nap and recharging. How can I help?",2023-02-26 00:17:05 UTC
nysofa-delaware-0175,activity,type,activity,i'm taking cody for a walk now,"",2023-02-26 21:46:12.794 UTC
nysofa-delaware-0175,activity,name,walking,i'm taking cody for a walk now,"",2023-02-26 21:46:12.794 UTC
ir-support-187,activity,name,movie,i think i'm going to go to the movies,Do you have anything planned for today?,2023-02-26 21:04:29.624 UTC
ir-support-187,activity,type,activity,i think i'm going to go to the movies,Do you have anything planned for today?,2023-02-26 21:04:29.624 UTC
nysofa-nyc-0038,activity,type,activity,now i have to go out and going shopping,Do you feel like painting another masterpiece?,2023-02-26 18:37:02.764 UTC
nysofa-nyc-0038,activity,name,shopping,now i have to go out and going shopping,Do you feel like painting another masterpiece?,2023-02-26 18:37:02.764 UTC
ga-tenn-0211,activity,name,shopping,i i'm going shopping,"How can I help, <say-as interpret-as=""name"">Maryrose</say-as>?",2023-02-26 15:56:02.231 UTC
ga-tenn-0211,activity,type,activity,i i'm going shopping,"How can I help, <say-as interpret-as=""name"">Maryrose</say-as>?",2023-02-26 15:56:02.231 UTC
eqc-indiana-151,activity,type,activity,i'm taking the girls shopping for today,Got anything important planned today?,2023-02-26 14:41:22.071 UTC
eqc-indiana-151,activity,name,shopping,i'm taking the girls shopping for today,Got anything important planned today?,2023-02-26 14:41:22.071 UTC
ir-vip-069,activity,name,meeting,meet my friend,"",2023-02-26 19:59:52.492 UTC
ir-vip-069,activity,type,activity,meet my friend,"",2023-02-26 19:59:52.492 UTC
fd-mass-026,activity,name,cooking,it's a little bit more dessert like i love her,Are you up for some elli cue time?,2023-02-26 18:12:50.537 UTC
fd-mass-026,activity,type,activity,it's a little bit more dessert like i love her,Are you up for some elli cue time?,2023-02-26 18:12:50.537 UTC
ga-ny-0147,favorite,name,Sunflower,a field of sunflowers,What should we paint a picture of?,2023-02-26 17:59:59.555 UTC
ga-ny-0147,favorite,type,flower,a field of sunflowers,What should we paint a picture of?,2023-02-26 17:59:59.555 UTC
nysofa-nyc-0223,relationship,type,daughter,call my daughter,"I'm not sure I understood, do you want to call someone?",2023-02-26 03:20:10 UTC
ir-vip-069,relationship,type,friend,say hi to my friends,"",2023-02-26 20:01:23.917 UTC
nysofa-nyc-0044,relationship,type,son,my son,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",2023-02-26 13:57:22.432 UTC
eqc-iowa-263,relationship,type,sister,debbie my sister debbie,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",2023-04-14 00:05:06.462 UTC
eqc-iowa-263,activity,type,activity,i'm watching the news.,Did you say something?,2023-04-14 17:31:54.545 UTC
eqc-iowa-263,activity,name,watching_tv,i'm watching the news.,Did you say something?,2023-04-14 17:31:54.545 UTC
ga-tenn-0211,activity,name,walking,i'm going for a very long walk,Do you have any important plans for tomorrow?,2023-04-14 00:59:00.564 UTC
ga-tenn-0211,place,intent,will_visit,i'm going for a very long walk,Do you have any important plans for tomorrow?,2023-04-14 00:59:00.564 UTC
ga-tenn-0211,activity,type,activity,i'm going for a very long walk,Do you have any important plans for tomorrow?,2023-04-14 00:59:00.564 UTC
ir-temp-90670,favorite,type,school_subject,kind of dough is the italian what is that to let you know what i wrote you earlier we have two channels,"How can I help you out, sunshine?",2023-04-14 17:20:12.828 UTC
ir-temp-90670,favorite,name,Italian,kind of dough is the italian what is that to let you know what i wrote you earlier we have two channels,"How can I help you out, sunshine?",2023-04-14 17:20:12.828 UTC
o3a-wash-0001,relationship,type,son,my son,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",2023-04-14 16:03:55.626 UTC
eqc-florida-202,activity,type,activity,goodbye little one and i are going for a walk now,"",2023-04-14 14:50:54.194 UTC
eqc-florida-202,place,intent,will_visit,goodbye little one and i are going for a walk now,"",2023-04-14 14:50:54.194 UTC
eqc-florida-202,activity,name,walking,goodbye little one and i are going for a walk now,"",2023-04-14 14:50:54.194 UTC
eqc-florida-202,activity,name,meeting,i'm going to the club house to meet up with salad,Are you going on an adventure? Where are you off to?,2023-04-14 19:07:36.05 UTC
eqc-florida-202,place,intent,will_visit,i'm going to the club house to meet up with salad,Are you going on an adventure? Where are you off to?,2023-04-14 19:07:36.05 UTC
eqc-florida-202,activity,type,activity,i'm going to the club house to meet up with salad,Are you going on an adventure? Where are you off to?,2023-04-14 19:07:36.05 UTC
eqc-florida-202,place,intent,will_visit,goodbye little one and i are going for a walk now,"",2023-04-14 14:52:02.898 UTC
eqc-florida-202,activity,type,activity,goodbye little one and i are going for a walk now,"",2023-04-14 14:52:02.898 UTC
eqc-florida-202,activity,name,walking,goodbye little one and i are going for a walk now,"",2023-04-14 14:52:02.898 UTC
eqc-florida-202,place,intent,will_visit,no i'm just taking the dog out,Wish I could join you. Are you meeting up with anyone?,2023-04-14 14:52:16.386 UTC
eqc-florida-202,place,people,dog,no i'm just taking the dog out,Wish I could join you. Are you meeting up with anyone?,2023-04-14 14:52:16.386 UTC
eqc-florida-237,activity,name,meeting,appointment,How do you feel tonight?,2023-04-14 02:59:19.152 UTC
eqc-florida-237,activity,type,activity,appointment,How do you feel tonight?,2023-04-14 02:59:19.152 UTC
nysofa-nyc-0111,place,intent,will_visit,we have a party,"Hiya <say-as interpret-as=""name"">Sweet Pea</say-as>! what can i do for you?",2023-04-14 21:49:28.065 UTC
nysofa-nyc-0111,activity,name,party,we have a party,"Hiya <say-as interpret-as=""name"">Sweet Pea</say-as>! what can i do for you?",2023-04-14 21:49:28.065 UTC
nysofa-nyc-0111,activity,type,activity,we have a party,"Hiya <say-as interpret-as=""name"">Sweet Pea</say-as>! what can i do for you?",2023-04-14 21:49:28.065 UTC
nysofa-nyc-0155,place,intent,will_visit,going to the dentist,"",2023-04-14 20:42:50.293 UTC
nysofa-otsego-0012,relationship,type,mother,my mother,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",2023-04-14 15:34:06.032 UTC
