memory_name,entity,value,user_text,elliq_text,group_id
activity,name,cooking dinner,no i'm i'm cooking dinner at like you all sit down in a little while,I was wondering if you were free for a moment?,01a04fac-af6d-4c17-b253-e104d5885c0d
activity,type,meeting,yes my doctor,"I’m wondering, are you meeting up with anyone?",01c0ff9f-065f-40d5-960f-d4e43e638ded
relationship,name,Christy,say hello to my friend christy,How can I help you?,01f50dd7-c6b3-4642-ba66-c46c23097d78
activity,type,physical activity,i'm going to take your advice and go out for a walk,How can I help you?,0217fcdd-73a9-43a6-9c54-e23e02d2ec83
activity,name,walk,i'm going to take your advice and go out for a walk,How can I help you?,0217fcdd-73a9-43a6-9c54-e23e02d2ec83
activity,type,going outside,play i get to go outside is a great day,Was today another great day for you?,02379d79-a467-48d7-b4c8-26b14f53db3a
activity,type,meal,a grilled cheese sandwich for dinner tonight,How can I help you?,026ea1b2-6827-445e-8326-9c8606cdef34
activity,name,dinner,a grilled cheese sandwich for dinner tonight,How can I help you?,026ea1b2-6827-445e-8326-9c8606cdef34
food,type,sandwich,a grilled cheese sandwich for dinner tonight,How can I help you?,026ea1b2-6827-445e-8326-9c8606cdef34
food,name,grilled cheese,a grilled cheese sandwich for dinner tonight,How can I help you?,026ea1b2-6827-445e-8326-9c8606cdef34
activity,type,religious activity,today is sunday yay i'm going to church,Turns out today is a really special day! Can you guess what day it is today?,02d1abbb-1ed8-458e-88eb-9337c82a9ca3
activity,name,going to church,today is sunday yay i'm going to church,Turns out today is a really special day! Can you guess what day it is today?,02d1abbb-1ed8-458e-88eb-9337c82a9ca3
activity,name,paying bills,i'll pay bills and go to the grocery store and take a bath and wash my hair,Do you have any important plans for today?,02e76a1e-ca01-4653-a776-2c2e67f4d0b2
activity,type,shopping,i'll pay bills and go to the grocery store and take a bath and wash my hair,Do you have any important plans for today?,02e76a1e-ca01-4653-a776-2c2e67f4d0b2
activity,type,personal care,i'll pay bills and go to the grocery store and take a bath and wash my hair,Do you have any important plans for today?,02e76a1e-ca01-4653-a776-2c2e67f4d0b2
activity,name,taking a bath,i'll pay bills and go to the grocery store and take a bath and wash my hair,Do you have any important plans for today?,02e76a1e-ca01-4653-a776-2c2e67f4d0b2
activity,name,washing hair,i'll pay bills and go to the grocery store and take a bath and wash my hair,Do you have any important plans for today?,02e76a1e-ca01-4653-a776-2c2e67f4d0b2
activity,type,religious activity,pretty good i went to church i went to church this morning,how's your day going so far?,02fd2bb9-ee9e-4553-84b2-f8b422274a9e
activity,name,church attendance,pretty good i went to church i went to church this morning,how's your day going so far?,02fd2bb9-ee9e-4553-84b2-f8b422274a9e
activity,name,grocery shopping,grocery shopping,Is there anything special planned for tomorrow?,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7
activity,type,appointment,and a few i'm going to the doctor,"Oh, are you heading out now?",0328c848-db6b-4bfb-9847-2233fb22ce5a
activity,type,outdoor activity,no i'm just going in the yard feed the chickens,Is it a secret rendezvous? Joking. Are you meeting anyone?,036f68ce-d8ac-446b-ad35-72b05e489191
activity,name,feeding chickens,no i'm just going in the yard feed the chickens,Is it a secret rendezvous? Joking. Are you meeting anyone?,036f68ce-d8ac-446b-ad35-72b05e489191
activity,type,religious activity,yes i'm going to church in the morning,Do you have anything planned for tomorrow?,039a8019-8a9a-4d75-8cf6-db818b2fa64b
person,name,Solomon,can you say hello to my friend solomon,How can I help you?,03d125f2-eeaf-4792-896e-e8c866a22319
activity,type,visit,visit my sister in the hospital,Do you have any important plans for tomorrow?,03d8e7ec-744b-40b6-a7d0-7aef1e17d6cc
activity,type,physical activity,going for a walk,"Lovely, what are you up to today?",03e6daaf-45d9-4079-8745-92dc8718cacb
activity,type,religious activity,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,Here's a fun game we can play: The Art History Game! Wanna play with me?,03f33106-b3dc-4fa3-8732-38d395025542
activity,name,going to church,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,Here's a fun game we can play: The Art History Game! Wanna play with me?,03f33106-b3dc-4fa3-8732-38d395025542
activity,type,social event,lunch with friends,"How wonderful, what are your plans for today?",04373049-ddb4-4e30-9005-fc9a8104fdc3
activity,name,lunch with friends,lunch with friends,"How wonderful, what are your plans for today?",04373049-ddb4-4e30-9005-fc9a8104fdc3
activity,name,going to work,i have to go to work,Do you have any plans for today?,0459d386-ef3c-41a4-ae9c-d54092324508
activity,name,going to work,yes i'm going to work in a few minutes,Do you have any important plans for today?,04966987-ddda-48a5-8023-51cae4f477f8
person,name,Emily,meet my friend emily say hello to emily,How can I help you?,0498ae4b-9292-4b6d-b889-934de4061ba6
activity,name,going out,yes i'm going out today i'm going shopping at like you,Got anything important planned today?,04a461f8-7553-4769-acd6-30e21a70f176
activity,name,calling a friend,not now i'm going to be calling a friend,How about some time together?,04bebc22-a713-4278-a90d-1e848997e14c
relationship,type,sister,i'm finished talking to my sister yeah,How can I help you?,04f52bc3-2316-4900-812c-35f5c6331011
place,name,doctors,i have to go out to the doctors i'll see you in a couple hours,How can I help you?,05151705-1d5a-4d72-aa7a-59408ab8e796
activity,type,appointment,i have to go out to the doctors i'll see you in a couple hours,How can I help you?,05151705-1d5a-4d72-aa7a-59408ab8e796
activity,type,creative activity,let's do another painting,What can I do for you?,0517e1e6-f2d6-47c4-ac6e-4be25d54e93a
activity,type,appointment,i'm getting ready to go to the doctor doctor appointment,Do you have anything special planned for today?,056f0600-ed64-49c6-ab85-6277425106f8
place,name,doctor,i'm getting ready to go to the doctor doctor appointment,Do you have anything special planned for today?,056f0600-ed64-49c6-ab85-6277425106f8
relationship,type,child,to pick up my kid,Leaving So soon? Where are you going?,0582db95-2afb-4949-954a-bf7144bf35dd
activity,type,activity,to pick up my kid,Leaving So soon? Where are you going?,0582db95-2afb-4949-954a-bf7144bf35dd
activity,type,pet care,no i'm just taking the dog out,Wish I could join you. Are you meeting up with anyone?,05aa4968-52a6-433a-abc2-678bf62718a7
activity,name,taking the dog out,no i'm just taking the dog out,Wish I could join you. Are you meeting up with anyone?,05aa4968-52a6-433a-abc2-678bf62718a7
activity,type,personal development,i'm going to work on being more grounded,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",05c8d710-0708-41de-a772-6cf598858f5b
activity,type,shopping,we're going to go to the drugstore and get what i need,How can I help you?,061cfeb3-acc5-472a-b9e4-9c101d26a0bd
activity,type,meal,no i'm eating and i got to go to church,I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,063f32a7-8275-431d-8184-db6862efa41d
activity,name,eating,no i'm eating and i got to go to church,I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,063f32a7-8275-431d-8184-db6862efa41d
activity,type,religious activity,no i'm eating and i got to go to church,I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,063f32a7-8275-431d-8184-db6862efa41d
relationship,name,Bridgette,i'm here with my friend bridgette,How can I help you?,0658d56c-053a-4123-8ddb-bfc5ffa3f723
activity,type,physical activity,goodbye i'm going out for a walk now,How can I help you?,065ef96a-aa11-47a4-88dd-770aa27b80a3
activity,name,walk,goodbye i'm going out for a walk now,How can I help you?,065ef96a-aa11-47a4-88dd-770aa27b80a3
activity,type,physical activity,i'm going to the pool now,How can I help you?,067b46ec-db69-45ac-b31a-d5c2497fa1e4
activity,name,swimming,i'm going to the pool now,How can I help you?,067b46ec-db69-45ac-b31a-d5c2497fa1e4
activity,type,meal,i'm making supper,How can I help you?,068f9f61-b415-4c00-b950-52d5d85b82ed
activity,name,making supper,i'm making supper,How can I help you?,068f9f61-b415-4c00-b950-52d5d85b82ed
activity,type,leisure,i go to the movies,"Hey, what about you , what's a hobby that you like to do throughout the week?",06b5d716-2765-4894-861b-dd337e9582fc
activity,name,movies,i go to the movies,"Hey, what about you , what's a hobby that you like to do throughout the week?",06b5d716-2765-4894-861b-dd337e9582fc
activity,type,physical activity,i'm going to go take a little walk,How can I help you?,06bf9c60-97dc-493d-b3d4-15f9027b23a8
activity,name,walk,i'm going to go take a little walk,How can I help you?,06bf9c60-97dc-493d-b3d4-15f9027b23a8
activity,type,physical activity,no we're going for a walk,Are you going to meet someone?,06e89354-31b0-4b0a-be1e-9d94f7897f51
activity,name,walk,no we're going for a walk,Are you going to meet someone?,06e89354-31b0-4b0a-be1e-9d94f7897f51
activity,type,religious activity,church and visit my mother,Is there anything special planned for today?,073f85a6-1189-4b35-8ced-fd56db87d60a
activity,name,church,church and visit my mother,Is there anything special planned for today?,073f85a6-1189-4b35-8ced-fd56db87d60a
activity,type,visit,church and visit my mother,Is there anything special planned for today?,073f85a6-1189-4b35-8ced-fd56db87d60a
activity,name,visit mother,church and visit my mother,Is there anything special planned for today?,073f85a6-1189-4b35-8ced-fd56db87d60a
activity,type,meal,i had a pot pie,My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,076812a1-42c2-42a8-ad34-7bd918d981b4
activity,name,dinner,i had a pot pie,My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,076812a1-42c2-42a8-ad34-7bd918d981b4
food,type,pot pie,i had a pot pie,My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,076812a1-42c2-42a8-ad34-7bd918d981b4
activity,type,shopping,no just going grocery shopping,"I’m wondering, are you meeting up with anyone?",0801f60b-523c-4118-b80a-d04f743ac351
activity,name,grocery shopping,no just going grocery shopping,"I’m wondering, are you meeting up with anyone?",0801f60b-523c-4118-b80a-d04f743ac351
activity,type,physical activity,yes i'm going walking,Do you have anything special planned for today?,0823f61e-55f4-4808-a90b-0ea687c730a5
event,type,doctor appointment,the doctor told me i'm going blind,"oh no, what made it a bad day?",08a8b92d-16d6-405d-b298-202bc37649dd
health,issue,going blind,the doctor told me i'm going blind,"oh no, what made it a bad day?",08a8b92d-16d6-405d-b298-202bc37649dd
activity,type,doctor's appointment,i'm going to give you all of my doctor's appointment for the month of february,"Oh, that sounds important. Which day is that for?",08b67073-cb08-4155-bfe9-35f04219c33f
activity,type,activity,yeah i got to go to the store,Got any plans today?,08cadc74-896c-4cd6-a5ff-d3cc4f3c0c9d
activity,type,physical activity,no we're just going for a short walk,"I’m wondering, are you meeting up with anyone?",08f4a961-bae1-4f56-aa2c-8f57f7ea3553
activity,name,short walk,no we're just going for a short walk,"I’m wondering, are you meeting up with anyone?",08f4a961-bae1-4f56-aa2c-8f57f7ea3553
activity,type,gardening,gardening,What do you plan on doing?,08f6d402-c896-4645-ba86-e8b231c683b8
activity,type,visit,yes i'm going to go visit a sister and meet one of my girlfriends at 4,Do you have any plans for tomorrow?,09226c81-bf07-4d3b-a7c6-37256487755f
activity,type,sports,baseball games,How can I help you?,092c745e-1485-4840-a7cd-3bc8619ca0c9
activity,name,baseball games,baseball games,How can I help you?,092c745e-1485-4840-a7cd-3bc8619ca0c9
activity,name,fixing tv,i wish i could fix this tv so i can look at it i'm trying to look at pbs but i can't get it,"Hay <say-as interpret-as=""name"">Sheila</say-as>! What can I do for my favorite human?",096a19de-db4d-43e1-950e-03da02a4d961
activity,type,social event,no i'm going to church,I didn't get around to fully introducing myself. Do you have time now?,09c239b0-05a5-4234-bdd5-688e4270edb4
personal_information,name,Josiah,my name is josiah what my favorite color is green what's your name,How can I help you?,09ecee81-42a5-4c65-bafd-667cefd6d86f
activity,type,physical activity,for walk,"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",0a110fe0-f134-46f7-bee0-f99a12056270
activity,name,walk,for walk,"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",0a110fe0-f134-46f7-bee0-f99a12056270
relationship,type,friends,going to lunch with my friends,"Wonderful, what’s on the agenda today?",0a16091f-a373-45c9-97b3-76178e07c554
activity,type,social activity,i'm going to church with my sister,"Wonderful, what’s on the agenda today?",0a49e390-33ce-4a5c-82f1-4cbcd6099fdc
activity,name,going to church,i'm going to church with my sister,"Wonderful, what’s on the agenda today?",0a49e390-33ce-4a5c-82f1-4cbcd6099fdc
activity,type,physical activity,it's going great i'm taking my dog for a walk,how's your day going so far?,0a986aa7-7f42-452a-93d0-8b70e2a1a42e
activity,name,leaving work,i'm leaving work,are you free to talk for a moment?,0aaa229d-4cda-44aa-a85c-900e27cecd31
emotion,type,happiness,no work,"Just out of curiosity, What was the one thing that made you happy this week?",0b335ce6-82e9-47e7-97c5-0109eb570d10
activity,name,no work,no work,"Just out of curiosity, What was the one thing that made you happy this week?",0b335ce6-82e9-47e7-97c5-0109eb570d10
activity,type,religious activity,yes i'm going to church,Do you have anything special planned for today?,0b4086e0-baa9-44db-afa7-ad0485896825
activity,name,going to church,yes i'm going to church,Do you have anything special planned for today?,0b4086e0-baa9-44db-afa7-ad0485896825
activity,type,hobby,i like to draw,How can I help you?,0b54db7d-dfe0-449c-b804-0ff06a5d8606
person,name,Narendra,say hello to my friend narendra,How can I help you?,0b87751f-3435-47c0-ac02-bb717e950c60
place,name,doctor's office,the doctor's office,"Great, what are your plans?",0b8908f0-9b66-4550-a4d2-96e13ae2a327
relationship,name,Natasha,say hi to my daughter natasha,How can I help you?,0ba14bd4-5ef0-4ab0-a37f-4e6f91d89786
activity,name,attending a meeting,go to a meeting,"That's lovely, what are your plans?",0bbf6b53-2f82-4ef0-90e5-dabcf41bced8
activity,name,lunch,i'm going to lunch and i'm going to get my hair done,Do you have any plans for today?,0bd0d184-d02c-4c79-abb8-02d4606a0d88
activity,type,personal care,i'm going to lunch and i'm going to get my hair done,Do you have any plans for today?,0bd0d184-d02c-4c79-abb8-02d4606a0d88
activity,name,hair appointment,i'm going to lunch and i'm going to get my hair done,Do you have any plans for today?,0bd0d184-d02c-4c79-abb8-02d4606a0d88
activity,type,going out,i have to go to the doctor so i'm going out for a few hours okay,How can I help you?,0c29cba2-37ca-4732-a248-b1cfa520a0ae
activity,type,appointment,i'm going to a doctor's appointment in a few minutes,How can I help you?,0c38d7c4-99ef-4b7e-97bb-97a267947620
activity,name,doctor's appointment,i'm going to a doctor's appointment in a few minutes,How can I help you?,0c38d7c4-99ef-4b7e-97bb-97a267947620
activity,type,physical activity,i'm going to go for a run,should we play a round of trivia together?,0c58c444-a4e7-43a4-97dd-99be7d63ce89
activity,name,running,i'm going to go for a run,should we play a round of trivia together?,0c58c444-a4e7-43a4-97dd-99be7d63ce89
place,name,doctor's office,we are on the way to the doctor's office,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",0c6fb887-bd01-470f-97f5-4bd5475db434
activity,type,visit,we are on the way to the doctor's office,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",0c6fb887-bd01-470f-97f5-4bd5475db434
activity,name,going to the doctor,we are on the way to the doctor's office,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",0c6fb887-bd01-470f-97f5-4bd5475db434
activity,type,personal care,well i'm getting ready now to go out to the hair dresses and then i'll be back in the early at pump mid-afternoon but right now i'm going to have some breakfast,"Sometimes, I like to pretend that the facts I know are actually highly guarded state secrets. So, what do you say I let you in on a fun fact.",0c738f2e-ad89-4841-82a9-222082350b45
activity,type,meal,making dinner,Is this a convenient time?,0c83233e-599c-4490-b474-efb23697af12
activity,name,making dinner,making dinner,Is this a convenient time?,0c83233e-599c-4490-b474-efb23697af12
activity,type,appointment,yes i'm going to the doctor now,Is there anything special planned for today?,0c8e2843-3a33-43be-a3d9-ec2fedabf5ca
activity,name,doctor visit,yes i'm going to the doctor now,Is there anything special planned for today?,0c8e2843-3a33-43be-a3d9-ec2fedabf5ca
place,name,doctor's,no i'm going to the doctor's i won't be back until about 2,"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",0cb8dfee-ddf3-48d8-a3df-1b1b2f357f4f
activity,type,appointment,no i'm going to the doctor's i won't be back until about 2,"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",0cb8dfee-ddf3-48d8-a3df-1b1b2f357f4f
activity,type,appointment,i have to go out to a doctor's appointment,How can I help you?,0cc7801c-f786-409f-9615-9f228d60c3b4
place,name,doctor's office,i have to go out to a doctor's appointment,How can I help you?,0cc7801c-f786-409f-9615-9f228d60c3b4
activity,type,medical appointment,medical appointment,Is there anything special planned for today?,0cda49e1-baa7-44f2-b2e0-f70f7df66f37
activity,type,physical activity,i'm going to the gym.,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",0ce317a1-91cd-428d-8b6f-0fa81d51f77f
activity,name,going to the gym,i'm going to the gym.,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",0ce317a1-91cd-428d-8b6f-0fa81d51f77f
activity,type,communication,i got to talk to my daughter,"So, I've gotta ask. What was the best thing that happened to you this week?",0ce53ea2-fd61-48f1-8d5b-580387ecca3d
activity,name,talking to daughter,i got to talk to my daughter,"So, I've gotta ask. What was the best thing that happened to you this week?",0ce53ea2-fd61-48f1-8d5b-580387ecca3d
activity,type,physical activity,for a walk,Leaving So soon? Where are you going?,0cecad24-13b9-4811-a8ea-f0b64d0d5898
activity,name,walk,for a walk,Leaving So soon? Where are you going?,0cecad24-13b9-4811-a8ea-f0b64d0d5898
activity,type,work,working in a library,What was it?,0d44089e-fea2-4ac7-bdfe-1a1c2fef8f49
activity,name,working in a library,working in a library,What was it?,0d44089e-fea2-4ac7-bdfe-1a1c2fef8f49
place,name,grocery store,i work at a grocery store,let's try again. maybe say it a bit differently this time.,0d46fbb4-aa43-4eb6-8673-b93c55d06612
relationship,name,Judy,say hello to my friend judy,How can I help you?,0d5feae5-da5e-4c77-bc60-ad6daf702cf1
activity,type,meal,no i'm cooking dinner,Do you have 30 seconds for some gentle breathing?,0d72bee5-2278-4feb-9e42-d77d60ddde91
activity,name,cooking dinner,no i'm cooking dinner,Do you have 30 seconds for some gentle breathing?,0d72bee5-2278-4feb-9e42-d77d60ddde91
activity,type,outdoor activity,going camping,How can I help you?,0dd742c1-af45-415b-9e3b-cf0fe978370c
activity,type,appointment,i'm just letting you know i'm leaving to go for an appointment this afternoon i will be back in several hours,Hello sunshine! How can I help?,0e04870a-3b79-488d-a322-7c02d7f5f789
activity,type,social activity,i'm going to see a movie with my friend,How can I help you?,0e378da7-45af-43b8-a897-e8721a89ab13
activity,name,movie,i'm going to see a movie with my friend,How can I help you?,0e378da7-45af-43b8-a897-e8721a89ab13
relationship,type,friend,i'm going to see a movie with my friend,How can I help you?,0e378da7-45af-43b8-a897-e8721a89ab13
activity,type,physical activity,show i just told you i'm going for a walk,Is now a better time to talk?,0e4b3b2d-2092-4d40-a0a0-3667c112fadb
place,name,store,to the store,"Where did you end up going <say-as interpret-as=""name"">Sweet Pea</say-as>?",0eb70555-8b5e-4e44-b06f-4cee1962fa60
activity,type,appointment,doctor's appointment,Do you have anything planned for tomorrow?,0ed0e6e9-7cd1-4cea-9f91-ef598c8911cb
activity,name,doctor's appointment,doctor's appointment,Do you have anything planned for tomorrow?,0ed0e6e9-7cd1-4cea-9f91-ef598c8911cb
activity,type,physical activity,now i'm taking the boys for a walk goodbye,Yes?,0ef22f6a-5e36-464f-a800-d568565fc1bb
activity,type,physical activity,i'm going outside and going for a walk,"Wonderful, what’s on the agenda today?",0efcfc6d-9f2a-4e24-b06b-1c9fab8f4671
activity,name,walk,i'm going outside and going for a walk,"Wonderful, what’s on the agenda today?",0efcfc6d-9f2a-4e24-b06b-1c9fab8f4671
activity,name,shower,i'm going to shower now and i'm going to have my breakfast,Is there anything special planned for today?,0f3f6b41-7e41-4e70-86c7-0bae4e42b93f
activity,type,appointment,busy making appointment,"Great, what are your plans?",0f6bab20-1bbd-421c-8939-0f8165c1137f
activity,name,making appointment,busy making appointment,"Great, what are your plans?",0f6bab20-1bbd-421c-8939-0f8165c1137f
place,name,garage,been sitting at the garage,How can I help you?,0f6c6523-9573-40de-bb68-e51678794b78
relationship,name,Debbie,oh maybe my sister debbie,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",0f6cb90b-94b5-4e8b-a621-c7639cb8aad3
hobby,type,bird-watching,i do guess indeed i like birds,"So, I learned lately that bird-watching is a popular hobby. Do you like bird watching?",0f77182a-4ebc-457a-b2dc-7d91fba62f1a
interest,name,birds,i do guess indeed i like birds,"So, I learned lately that bird-watching is a popular hobby. Do you like bird watching?",0f77182a-4ebc-457a-b2dc-7d91fba62f1a
activity,type,hobby,pool going to the pool,"If you've had time to think of your hobby, eyed still love to know, what is it?",0f7aa94a-1454-4e25-847e-ed472d3acbc8
activity,name,going to the pool,pool going to the pool,"If you've had time to think of your hobby, eyed still love to know, what is it?",0f7aa94a-1454-4e25-847e-ed472d3acbc8
aspiration,profession,veterinarian,i wanted to be a veterinarian,How about you share a memory about what you wanted to be when you grew up?,0f9090f3-bfc5-4cbf-bf2f-cec16772d665
activity,type,social interaction,yes i'm going to go visit a friend and watch the movie,Is there anything special planned for tomorrow?,0fbc123c-c3f3-4c7d-8a5a-0aba08006d11
activity,name,visit friend,yes i'm going to go visit a friend and watch the movie,Is there anything special planned for tomorrow?,0fbc123c-c3f3-4c7d-8a5a-0aba08006d11
activity,type,entertainment,yes i'm going to go visit a friend and watch the movie,Is there anything special planned for tomorrow?,0fbc123c-c3f3-4c7d-8a5a-0aba08006d11
activity,name,watch movie,yes i'm going to go visit a friend and watch the movie,Is there anything special planned for tomorrow?,0fbc123c-c3f3-4c7d-8a5a-0aba08006d11
activity,type,exercise,i did exercise today and i'm tired,How can I help you?,0fcbefc9-1574-4b31-8029-692f453f14e9
activity,type,meal,i'm just saying i'm just going out to eat to eat,let's try again. maybe say it a bit differently this time.,0ff8dd1d-3824-4a58-a401-a2f4cdba32a9
activity,name,going out to eat,i'm just saying i'm just going out to eat to eat,let's try again. maybe say it a bit differently this time.,0ff8dd1d-3824-4a58-a401-a2f4cdba32a9
activity,type,crafting,i've also started quilting,How can I help you?,1005b611-2aab-41c7-b493-042c96eb21fa
activity,type,entertainment,i went to the concert,How can I help you?,100d5999-8f60-46fa-9af8-7d75d20f5eb3
activity,type,physical activity,i'm taking the dog for a walk,Did you say something?,10139219-c031-43a6-b344-43a059caf732
possession,type,pet,i'm taking the dog for a walk,Did you say something?,10139219-c031-43a6-b344-43a059caf732
possession,name,dog,i'm taking the dog for a walk,Did you say something?,10139219-c031-43a6-b344-43a059caf732
activity,name,grocery shopping,who go grocery shopping maybe catch up on a few things,Do you have any plans for today?,106c506a-8640-47ac-91c2-2acbb5c73755
place,name,doctor's office,doctors office,"Great, what are your plans?",107f082f-3c8d-4bfc-96a5-b0e3e557e782
activity,type,game,goodbye i'm going to play bingo now,How can I help you?,10cc1fe8-1a44-45a7-800a-ddcc4d44f041
activity,name,bingo,goodbye i'm going to play bingo now,How can I help you?,10cc1fe8-1a44-45a7-800a-ddcc4d44f041
activity,type,appointment,not right now i have to go to my appointment,Wanna spend some time together?,10d931c9-ef13-4e77-8df4-3d64b621114f
activity,type,appointment,i go to the dentist tomorrow to get up at 1 to get a tooth repaired,Is there anything special planned for tomorrow?,1109d092-9da4-4730-9a5a-6c0d1ede2e95
activity,type,sports,i'm just watching a tennis match on t.v.,Is there something else you’d like to do?,115505ce-c6c0-45cb-8bcd-2ca71de1c086
activity,details,tennis match,i'm just watching a tennis match on t.v.,Is there something else you’d like to do?,115505ce-c6c0-45cb-8bcd-2ca71de1c086
activity,type,returning home,will be back in 20 minutes,When will you be back home? I want to make sure to be here.,11567bcf-cc6b-4709-8587-57f3b1e11be9
activity,type,hobby,i love paint,How can I help you?,1174499a-7c19-4806-9ba6-3b88cd593c72
activity,type,physical activity,i'm sorry yeah we're getting ready to take our walk now,How can I help you?,1183f4e2-638a-4dc1-a7d9-332056f21b6f
activity,type,meal,nothing i'm making dinner,"There you are! What can I help you with <say-as interpret-as=""name"">Alice</say-as>?",11fac057-2f0e-4a1b-b3ad-a7ccf31699ba
activity,name,making dinner,nothing i'm making dinner,"There you are! What can I help you with <say-as interpret-as=""name"">Alice</say-as>?",11fac057-2f0e-4a1b-b3ad-a7ccf31699ba
activity,type,meal,i'm fixing dinner,"Did you know that expressing gratitude can have a real positive effect on the way you feel, 'n the quality of your sleep? Would you like to try an exercise in gratitude with me.",122a7520-7ad5-425d-834a-41a5bb6ebb62
activity,type,rehab,i'm still not home i'm in the hospital rehab,"So, <say-as interpret-as=""name"">Donna</say-as>, tell me all about your adventure outside. Where did you go?",1238a192-ef76-47d0-a111-2ccf53c8d6ec
activity,type,religious activity,i'm going to 3 churches,"How wonderful, what are your plans for tomorrow?",128fe8d3-8029-4a8c-af8b-68ff81b1dc46
activity,name,visiting churches,i'm going to 3 churches,"How wonderful, what are your plans for tomorrow?",128fe8d3-8029-4a8c-af8b-68ff81b1dc46
activity,name,going to work,goodbye i'm going to work,How can I help you?,12c77a28-61d1-43db-ac5d-5601b91fa843
activity,type,medical appointment,i have two doctors appointments and a visit with a friend,"That's lovely, what are your plans?",12d25926-b0a5-4878-864b-7c008d4dfb31
activity,type,social visit,i have two doctors appointments and a visit with a friend,"That's lovely, what are your plans?",12d25926-b0a5-4878-864b-7c008d4dfb31
relationship,type,friend,i have two doctors appointments and a visit with a friend,"That's lovely, what are your plans?",12d25926-b0a5-4878-864b-7c008d4dfb31
activity,type,errands,i'm going to do some errands right now so i'll see you in a little bit,How can I help you?,13521e1c-9a09-4375-8b80-78f86ade46a6
place,name,store,i'm going to the store i'll be back in maybe an hour or so,How can I help you?,1368f4f2-6f45-463e-89b4-aefa1ba02d5d
