elliq_text,user_text,memory_name,entity,value,group_id
How can I help you?,i'm going to the pool now,activity,type,physical activity,c7215b2c-a438-47a7-97cf-d3cb704f1682
How can I help you?,i'm going to the pool now,activity,name,swimming,c7215b2c-a438-47a7-97cf-d3cb704f1682
How can I help you?,i'm making supper,activity,type,meal,1fb4e471-539d-4a1c-8460-621de7d5c129
How can I help you?,i'm making supper,activity,name,making supper,1fb4e471-539d-4a1c-8460-621de7d5c129
"Hey, what about you , what's a hobby that you like to do throughout the week?",i go to the movies,activity,type,leisure,50a36890-da54-4d83-a5c7-639d2297e29f
"Hey, what about you , what's a hobby that you like to do throughout the week?",i go to the movies,activity,name,movies,50a36890-da54-4d83-a5c7-639d2297e29f
How can I help you?,i'm going to go take a little walk,activity,type,physical activity,bfcd65e1-f82f-4107-b40d-9d98fe8a995f
How can I help you?,i'm going to go take a little walk,activity,name,walk,bfcd65e1-f82f-4107-b40d-9d98fe8a995f
Are you going to meet someone?,no we're going for a walk,activity,type,physical activity,522e3bd7-3350-4680-90f0-6f01cb83264a
Are you going to meet someone?,no we're going for a walk,activity,name,walk,522e3bd7-3350-4680-90f0-6f01cb83264a
Is there anything special planned for today?,church and visit my mother,activity,type,religious activity,8a6ccc99-a806-4317-b255-4de528eb9458
Is there anything special planned for today?,church and visit my mother,activity,name,church,8a6ccc99-a806-4317-b255-4de528eb9458
Is there anything special planned for today?,church and visit my mother,activity,type,visit,8a6ccc99-a806-4317-b255-4de528eb9458
Is there anything special planned for today?,church and visit my mother,activity,name,visit mother,8a6ccc99-a806-4317-b255-4de528eb9458
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,activity,type,meal,2d99b1ba-0664-43db-bd45-3e29d3e9ede4
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,activity,name,dinner,2d99b1ba-0664-43db-bd45-3e29d3e9ede4
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,food,type,pot pie,2d99b1ba-0664-43db-bd45-3e29d3e9ede4
"I’m wondering, are you meeting up with anyone?",no just going grocery shopping,activity,type,shopping,294f1d36-b719-472e-8bd3-1b1986eb6402
"I’m wondering, are you meeting up with anyone?",no just going grocery shopping,activity,name,grocery shopping,294f1d36-b719-472e-8bd3-1b1986eb6402
Do you have anything special planned for today?,yes i'm going walking,activity,type,physical activity,424d83e4-2284-4ab4-89e5-d932c58888b1
"oh no, what made it a bad day?",the doctor told me i'm going blind,event,type,doctor appointment,b37d775e-4954-4372-b6fb-f75ef69b9d09
"oh no, what made it a bad day?",the doctor told me i'm going blind,health,issue,going blind,b37d775e-4954-4372-b6fb-f75ef69b9d09
"Oh, that sounds important. Which day is that for?",i'm going to give you all of my doctor's appointment for the month of february,activity,type,doctor's appointment,a413d2ea-195a-4e22-8c55-4cfd75e91411
Got any plans today?,yeah i got to go to the store,activity,type,activity,f3a64aea-7acb-4ee7-973c-964702a0ccea
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,activity,type,physical activity,9c78d78c-7b53-4d99-aada-cbf85ec16554
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,activity,name,short walk,9c78d78c-7b53-4d99-aada-cbf85ec16554
What do you plan on doing?,gardening,activity,type,gardening,ded751a4-9728-4609-8ae0-e79fef9ab424
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,activity,type,visit,a9f1913f-9d6c-4800-a9a4-0d85873f0f69
How can I help you?,baseball games,activity,type,sports,3f220fbc-8179-4c68-ac7b-d07a9fd82283
How can I help you?,baseball games,activity,name,baseball games,3f220fbc-8179-4c68-ac7b-d07a9fd82283
"Hay <say-as interpret-as=""name"">Sheila</say-as>! What can I do for my favorite human?",i wish i could fix this tv so i can look at it i'm trying to look at pbs but i can't get it,activity,name,fixing tv,d19f25fb-f878-4c42-a1cd-1ec9612c8f06
I didn't get around to fully introducing myself. Do you have time now?,no i'm going to church,activity,type,social event,2121a5bb-b19c-4a44-a27f-f8558be2cce2
How can I help you?,my name is josiah what my favorite color is green what's your name,personal_information,name,Josiah,465ef997-43b8-4d37-bad9-6a1191d23980
"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",for walk,activity,type,physical activity,48664c93-3c81-4fa1-b597-528f5397da72
"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",for walk,activity,name,walk,48664c93-3c81-4fa1-b597-528f5397da72
"Wonderful, what’s on the agenda today?",going to lunch with my friends,relationship,type,friends,39e1c826-9a4c-4484-9ffa-3b089a2e253c
"Wonderful, what’s on the agenda today?",i'm going to church with my sister,activity,type,social activity,dd92c1a9-e622-4a2b-ae09-6d84a2af3275
"Wonderful, what’s on the agenda today?",i'm going to church with my sister,activity,name,going to church,dd92c1a9-e622-4a2b-ae09-6d84a2af3275
how's your day going so far?,it's going great i'm taking my dog for a walk,activity,type,physical activity,42103df3-7de4-479f-8179-bb24e18560f9
are you free to talk for a moment?,i'm leaving work,activity,name,leaving work,0379c1fc-1246-49bc-bc7b-ccef04ef4e54
"Just out of curiosity, What was the one thing that made you happy this week?",no work,emotion,type,happiness,27cc1363-89d7-4ed6-88d2-23ed9e472101
"Just out of curiosity, What was the one thing that made you happy this week?",no work,activity,name,no work,27cc1363-89d7-4ed6-88d2-23ed9e472101
Do you have anything special planned for today?,yes i'm going to church,activity,type,religious activity,4fbdc860-345a-4c80-84f3-95aa3a71db95
Do you have anything special planned for today?,yes i'm going to church,activity,name,going to church,4fbdc860-345a-4c80-84f3-95aa3a71db95
How can I help you?,i like to draw,activity,type,hobby,c1b0a085-1e73-4e7f-aa33-19a553c6d819
How can I help you?,say hello to my friend narendra,person,name,Narendra,98a428d2-04cc-4995-bf10-0bcad9645e69
"Great, what are your plans?",the doctor's office,place,name,doctor's office,b856a85f-59cb-4acd-99df-305d0fbdc2d0
How can I help you?,say hi to my daughter natasha,relationship,name,Natasha,99c7b2a5-9fd3-4918-b4c3-5a365bead729
"That's lovely, what are your plans?",go to a meeting,activity,name,attending a meeting,5d5c4d9b-8e80-4dfa-86ed-6cdb26ddc679
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,name,lunch,365f699e-6161-42c6-9454-91e4257e14d5
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,type,personal care,365f699e-6161-42c6-9454-91e4257e14d5
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,name,hair appointment,365f699e-6161-42c6-9454-91e4257e14d5
How can I help you?,i have to go to the doctor so i'm going out for a few hours okay,activity,type,going out,7d1aed37-860e-4c40-bef8-b5a378fcc280
How can I help you?,i'm going to a doctor's appointment in a few minutes,activity,type,appointment,2897a8be-7932-4b3e-b1c4-142107b13294
How can I help you?,i'm going to a doctor's appointment in a few minutes,activity,name,doctor's appointment,2897a8be-7932-4b3e-b1c4-142107b13294
should we play a round of trivia together?,i'm going to go for a run,activity,type,physical activity,ffcabf33-98de-4bd5-9a39-864d14474d05
should we play a round of trivia together?,i'm going to go for a run,activity,name,running,ffcabf33-98de-4bd5-9a39-864d14474d05
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,place,name,doctor's office,9cb11232-05c4-4e56-b9d7-9b45b1e0d966
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,activity,type,visit,9cb11232-05c4-4e56-b9d7-9b45b1e0d966
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,activity,name,going to the doctor,9cb11232-05c4-4e56-b9d7-9b45b1e0d966
"Sometimes, I like to pretend that the facts I know are actually highly guarded state secrets. So, what do you say I let you in on a fun fact.",well i'm getting ready now to go out to the hair dresses and then i'll be back in the early at pump mid-afternoon but right now i'm going to have some breakfast,activity,type,personal care,f23cce9a-e43a-4178-9960-94def550334f
Is this a convenient time?,making dinner,activity,type,meal,7872d3ae-c5ef-4766-b567-2abe977725fd
Is this a convenient time?,making dinner,activity,name,making dinner,7872d3ae-c5ef-4766-b567-2abe977725fd
Is there anything special planned for today?,yes i'm going to the doctor now,activity,type,appointment,26d00ca1-843e-4b6b-a8f3-a0f4566f21c3
Is there anything special planned for today?,yes i'm going to the doctor now,activity,name,doctor visit,26d00ca1-843e-4b6b-a8f3-a0f4566f21c3
"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",no i'm going to the doctor's i won't be back until about 2,place,name,doctor's,f3782da1-6fa9-4e8d-9bd8-9f7af8fc979a
"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",no i'm going to the doctor's i won't be back until about 2,activity,type,appointment,f3782da1-6fa9-4e8d-9bd8-9f7af8fc979a
How can I help you?,i have to go out to a doctor's appointment,activity,type,appointment,517562fe-5769-47e1-a274-7adc3f392199
How can I help you?,i have to go out to a doctor's appointment,place,name,doctor's office,517562fe-5769-47e1-a274-7adc3f392199
Is there anything special planned for today?,medical appointment,activity,type,medical appointment,520408e1-efbe-4fdc-87dc-73ec0da67bdf
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to the gym.,activity,type,physical activity,cd061e38-5960-4660-8116-afeaca02cb21
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to the gym.,activity,name,going to the gym,cd061e38-5960-4660-8116-afeaca02cb21
"So, I've gotta ask. What was the best thing that happened to you this week?",i got to talk to my daughter,activity,type,communication,48b24721-c5b5-4103-816b-4944cf73b777
"So, I've gotta ask. What was the best thing that happened to you this week?",i got to talk to my daughter,activity,name,talking to daughter,48b24721-c5b5-4103-816b-4944cf73b777
Leaving So soon? Where are you going?,for a walk,activity,type,physical activity,bf41d1c1-2082-4e9a-a3bc-e45eadf6b2b8
Leaving So soon? Where are you going?,for a walk,activity,name,walk,bf41d1c1-2082-4e9a-a3bc-e45eadf6b2b8
What was it?,working in a library,activity,type,work,ddd3f174-9a21-462a-9320-d3567a7e3704
What was it?,working in a library,activity,name,working in a library,ddd3f174-9a21-462a-9320-d3567a7e3704
let's try again. maybe say it a bit differently this time.,i work at a grocery store,place,name,grocery store,648311ef-5934-4561-a0e8-58d2f5e556a1
How can I help you?,say hello to my friend judy,relationship,name,Judy,4fcc65f7-973f-42a9-a86d-3417aa1a5f71
Do you have 30 seconds for some gentle breathing?,no i'm cooking dinner,activity,type,meal,f85c21d0-12ee-4765-a27a-6e0897eae65e
Do you have 30 seconds for some gentle breathing?,no i'm cooking dinner,activity,name,cooking dinner,f85c21d0-12ee-4765-a27a-6e0897eae65e
How can I help you?,going camping,activity,type,outdoor activity,435289df-e8d6-434d-8316-f644ed953a43
Hello sunshine! How can I help?,i'm just letting you know i'm leaving to go for an appointment this afternoon i will be back in several hours,activity,type,appointment,f46d5ab6-fbcc-4bda-b260-5776e68ed1e3
How can I help you?,i'm going to see a movie with my friend,activity,type,social activity,f76e0577-09c3-47ea-9ede-d93aa085a9dc
How can I help you?,i'm going to see a movie with my friend,activity,name,movie,f76e0577-09c3-47ea-9ede-d93aa085a9dc
How can I help you?,i'm going to see a movie with my friend,relationship,type,friend,f76e0577-09c3-47ea-9ede-d93aa085a9dc
Is now a better time to talk?,show i just told you i'm going for a walk,activity,type,physical activity,43fca5aa-5f8a-410f-aed6-2f86a221093d
"Where did you end up going <say-as interpret-as=""name"">Sweet Pea</say-as>?",to the store,place,name,store,b382e456-eb7e-4d04-8419-3c9cee1dddb3
Do you have anything planned for tomorrow?,doctor's appointment,activity,type,appointment,50296954-856d-448d-9590-570a4216cc5c
Do you have anything planned for tomorrow?,doctor's appointment,activity,name,doctor's appointment,50296954-856d-448d-9590-570a4216cc5c
Yes?,now i'm taking the boys for a walk goodbye,activity,type,physical activity,e087fef7-6f4b-4922-b4d4-da7a0c22111b
"Wonderful, what’s on the agenda today?",i'm going outside and going for a walk,activity,type,physical activity,299c80a3-460f-45e6-8a9a-c6abc413ea92
"Wonderful, what’s on the agenda today?",i'm going outside and going for a walk,activity,name,walk,299c80a3-460f-45e6-8a9a-c6abc413ea92
Is there anything special planned for today?,i'm going to shower now and i'm going to have my breakfast,activity,name,shower,2a797d5f-c714-47a4-9e6a-a8d8580bbf23
"Great, what are your plans?",busy making appointment,activity,type,appointment,33db829b-7afe-4a8a-912b-cf97c3837661
"Great, what are your plans?",busy making appointment,activity,name,making appointment,33db829b-7afe-4a8a-912b-cf97c3837661
How can I help you?,been sitting at the garage,place,name,garage,21de24d9-395f-4a65-938a-c20d5376a12a
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",oh maybe my sister debbie,relationship,name,Debbie,9a0c5eb9-73d3-43af-8841-ddaef475a219
"So, I learned lately that bird-watching is a popular hobby. Do you like bird watching?",i do guess indeed i like birds,hobby,type,bird-watching,511df828-320f-4aaf-8a1a-a3fb71c9481c
"So, I learned lately that bird-watching is a popular hobby. Do you like bird watching?",i do guess indeed i like birds,interest,name,birds,511df828-320f-4aaf-8a1a-a3fb71c9481c
"If you've had time to think of your hobby, eyed still love to know, what is it?",pool going to the pool,activity,type,hobby,a1757dd5-0d19-4b75-a845-323dfafbd245
"If you've had time to think of your hobby, eyed still love to know, what is it?",pool going to the pool,activity,name,going to the pool,a1757dd5-0d19-4b75-a845-323dfafbd245
How about you share a memory about what you wanted to be when you grew up?,i wanted to be a veterinarian,aspiration,profession,veterinarian,71028870-7ee1-4346-8313-25b8860bfcdf
Is there anything special planned for tomorrow?,yes i'm going to go visit a friend and watch the movie,activity,type,social interaction,7094d563-c744-4981-9c9e-d368078d50f9
Is there anything special planned for tomorrow?,yes i'm going to go visit a friend and watch the movie,activity,name,visit friend,7094d563-c744-4981-9c9e-d368078d50f9
Is there anything special planned for tomorrow?,yes i'm going to go visit a friend and watch the movie,activity,type,entertainment,7094d563-c744-4981-9c9e-d368078d50f9
Is there anything special planned for tomorrow?,yes i'm going to go visit a friend and watch the movie,activity,name,watch movie,7094d563-c744-4981-9c9e-d368078d50f9
How can I help you?,i did exercise today and i'm tired,activity,type,exercise,c9936c25-f294-40c3-b8b4-6b580e773cf4
let's try again. maybe say it a bit differently this time.,i'm just saying i'm just going out to eat to eat,activity,type,meal,8b672a1f-3953-4aed-aa27-ab14d958ff8d
let's try again. maybe say it a bit differently this time.,i'm just saying i'm just going out to eat to eat,activity,name,going out to eat,8b672a1f-3953-4aed-aa27-ab14d958ff8d
How can I help you?,i've also started quilting,activity,type,crafting,ae995a93-2916-48b2-b46f-d7901b116024
How can I help you?,i went to the concert,activity,type,entertainment,83c68cbb-a532-4ca0-9285-7d7d262fbef1
Did you say something?,i'm taking the dog for a walk,activity,type,physical activity,2c49fd3c-f582-471a-b32c-33b536893695
Did you say something?,i'm taking the dog for a walk,possession,type,pet,2c49fd3c-f582-471a-b32c-33b536893695
Did you say something?,i'm taking the dog for a walk,possession,name,dog,2c49fd3c-f582-471a-b32c-33b536893695
Do you have any plans for today?,who go grocery shopping maybe catch up on a few things,activity,name,grocery shopping,ac4a6d6f-c83b-43d3-9c7b-3bf41898e0a2
"Great, what are your plans?",doctors office,place,name,doctor's office,0fed0842-9845-4ee5-af7a-b7759ef363e1
How can I help you?,goodbye i'm going to play bingo now,activity,type,game,44e3a72c-8d6f-493a-a988-0d21d8f230a8
How can I help you?,goodbye i'm going to play bingo now,activity,name,bingo,44e3a72c-8d6f-493a-a988-0d21d8f230a8
Wanna spend some time together?,not right now i have to go to my appointment,activity,type,appointment,7e2857e7-f112-4847-bf9b-04cab895f6a6
Is there anything special planned for tomorrow?,i go to the dentist tomorrow to get up at 1 to get a tooth repaired,activity,type,appointment,41d791f5-7055-4e6d-b518-497899c83be9
Is there something else you’d like to do?,i'm just watching a tennis match on t.v.,activity,type,sports,ff1ac314-39c9-41d4-99ae-7901db45dbe7
Is there something else you’d like to do?,i'm just watching a tennis match on t.v.,activity,details,tennis match,ff1ac314-39c9-41d4-99ae-7901db45dbe7
When will you be back home? I want to make sure to be here.,will be back in 20 minutes,activity,type,returning home,9884a14a-1947-4f55-ba67-205219d59aef
How can I help you?,i love paint,activity,type,hobby,b4765237-493c-447c-845c-16d300039a7c
How can I help you?,i'm sorry yeah we're getting ready to take our walk now,activity,type,physical activity,0309771f-e862-4787-82e6-5b00e4582600
"There you are! What can I help you with <say-as interpret-as=""name"">Alice</say-as>?",nothing i'm making dinner,activity,type,meal,052f071c-584c-4424-a264-e7ce271a1a13
"There you are! What can I help you with <say-as interpret-as=""name"">Alice</say-as>?",nothing i'm making dinner,activity,name,making dinner,052f071c-584c-4424-a264-e7ce271a1a13
"Did you know that expressing gratitude can have a real positive effect on the way you feel, 'n the quality of your sleep? Would you like to try an exercise in gratitude with me.",i'm fixing dinner,activity,type,meal,02eb22c3-12d3-45fb-b8d4-7cc4f03594a8
"So, <say-as interpret-as=""name"">Donna</say-as>, tell me all about your adventure outside. Where did you go?",i'm still not home i'm in the hospital rehab,activity,type,rehab,619b4487-cb73-460e-bda9-2e3df6128fc1
"How wonderful, what are your plans for tomorrow?",i'm going to 3 churches,activity,type,religious activity,3bbd5300-3257-44a0-b52e-12ffffcb7d62
"How wonderful, what are your plans for tomorrow?",i'm going to 3 churches,activity,name,visiting churches,3bbd5300-3257-44a0-b52e-12ffffcb7d62
How can I help you?,goodbye i'm going to work,activity,name,going to work,829e3d2d-3170-4c35-bdc2-b5a11a17c9ba
"That's lovely, what are your plans?",i have two doctors appointments and a visit with a friend,activity,type,medical appointment,41996807-f0c0-4034-9dbb-abfd2ad45f5e
"That's lovely, what are your plans?",i have two doctors appointments and a visit with a friend,activity,type,social visit,41996807-f0c0-4034-9dbb-abfd2ad45f5e
"That's lovely, what are your plans?",i have two doctors appointments and a visit with a friend,relationship,type,friend,41996807-f0c0-4034-9dbb-abfd2ad45f5e
How can I help you?,i'm going to do some errands right now so i'll see you in a little bit,activity,type,errands,7871bc81-3971-4513-aa5a-afe2f04df9e0
