elliq_text,user_text,memory_name,entity,value,group_id,validated,created_time,agent_id
Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,activity,name,going to church,03f33106-b3dc-4fa3-8732-38d395025542,1,2023-08-15 14:56:24 UTC,broward-florida-0036
"How wonderful, what are your plans for today?",lunch with friends,activity,type,social event,04373049-ddb4-4e30-9005-fc9a8104fdc3,1,2023-08-15 14:56:24 UTC,nysofa-chautauqua-0076
"How wonderful, what are your plans for today?",lunch with friends,activity,name,lunch with friends,04373049-ddb4-4e30-9005-fc9a8104fdc3,1,2023-08-15 14:56:24 UTC,nysofa-chautauqua-0076
Do you have any plans for today?,i have to go to work,activity,name,going to work,0459d386-ef3c-41a4-ae9c-d54092324508,1,2023-08-15 14:56:24 UTC,eqc-ohio-022
Do you have any important plans for today?,yes i'm going to work in a few minutes,activity,name,going to work,04966987-ddda-48a5-8023-51cae4f477f8,1,2023-08-15 14:56:24 UTC,ga-virginia-0011
How can I help you?,meet my friend emily say hello to emily,person,name,Emily,0498ae4b-9292-4b6d-b889-934de4061ba6,1,2023-08-15 14:56:24 UTC,eqc-georgia-047
Got anything important planned today?,yes i'm going out today i'm going shopping at like you,activity,name,going out,04a461f8-7553-4769-acd6-30e21a70f176,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0048
How about some time together?,not now i'm going to be calling a friend,activity,name,calling a friend,04bebc22-a713-4278-a90d-1e848997e14c,1,2023-08-15 14:56:24 UTC,eqc-florida-243
How can I help you?,i'm finished talking to my sister yeah,relationship,type,sister,04f52bc3-2316-4900-812c-35f5c6331011,1,2023-08-15 14:56:24 UTC,indy-cali-019
How can I help you?,i have to go out to the doctors i'll see you in a couple hours,place,name,doctors,05151705-1d5a-4d72-aa7a-59408ab8e796,1,2023-08-15 14:56:24 UTC,nysofa-dutchess-0194
How can I help you?,i have to go out to the doctors i'll see you in a couple hours,activity,type,appointment,05151705-1d5a-4d72-aa7a-59408ab8e796,1,2023-08-15 14:56:24 UTC,nysofa-dutchess-0194
What can I do for you?,let's do another painting,activity,type,creative activity,0517e1e6-f2d6-47c4-ac6e-4be25d54e93a,1,2023-08-15 14:56:24 UTC,nysofa-erie-0400
Do you have anything special planned for today?,i'm getting ready to go to the doctor doctor appointment,activity,type,appointment,056f0600-ed64-49c6-ab85-6277425106f8,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Do you have anything special planned for today?,i'm getting ready to go to the doctor doctor appointment,place,name,doctor,056f0600-ed64-49c6-ab85-6277425106f8,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Leaving So soon? Where are you going?,to pick up my kid,relationship,type,child,0582db95-2afb-4949-954a-bf7144bf35dd,1,2023-08-15 14:56:24 UTC,opt-dev-moshe
Leaving So soon? Where are you going?,to pick up my kid,activity,type,activity,0582db95-2afb-4949-954a-bf7144bf35dd,1,2023-08-15 14:56:24 UTC,opt-dev-moshe
Wish I could join you. Are you meeting up with anyone?,no i'm just taking the dog out,activity,type,pet care,05aa4968-52a6-433a-abc2-678bf62718a7,1,2023-08-15 14:56:24 UTC,eqc-florida-202
Wish I could join you. Are you meeting up with anyone?,no i'm just taking the dog out,activity,name,taking the dog out,05aa4968-52a6-433a-abc2-678bf62718a7,1,2023-08-15 14:56:24 UTC,eqc-florida-202
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to work on being more grounded,activity,type,personal development,05c8d710-0708-41de-a772-6cf598858f5b,1,2023-08-15 14:56:24 UTC,ga-colorado-0152
How can I help you?,we're going to go to the drugstore and get what i need,activity,type,shopping,061cfeb3-acc5-472a-b9e4-9c101d26a0bd,1,2023-08-15 14:56:24 UTC,ga-texas-0124
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,type,meal,063f32a7-8275-431d-8184-db6862efa41d,1,2023-08-15 14:56:24 UTC,nysofa-oswego-0053
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,name,eating,063f32a7-8275-431d-8184-db6862efa41d,1,2023-08-15 14:56:24 UTC,nysofa-oswego-0053
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,type,religious activity,063f32a7-8275-431d-8184-db6862efa41d,1,2023-08-15 14:56:24 UTC,nysofa-oswego-0053
How can I help you?,i'm here with my friend bridgette,relationship,name,Bridgette,0658d56c-053a-4123-8ddb-bfc5ffa3f723,1,2023-08-15 14:56:24 UTC,ir-temp-90593
How can I help you?,goodbye i'm going out for a walk now,activity,type,physical activity,065ef96a-aa11-47a4-88dd-770aa27b80a3,1,2023-08-15 14:56:24 UTC,eqc-florida-202
How can I help you?,goodbye i'm going out for a walk now,activity,name,walk,065ef96a-aa11-47a4-88dd-770aa27b80a3,1,2023-08-15 14:56:24 UTC,eqc-florida-202
How can I help you?,i'm going to the pool now,activity,type,physical activity,067b46ec-db69-45ac-b31a-d5c2497fa1e4,1,2023-08-15 14:56:24 UTC,eqc-florida-202
How can I help you?,i'm going to the pool now,activity,name,swimming,067b46ec-db69-45ac-b31a-d5c2497fa1e4,1,2023-08-15 14:56:24 UTC,eqc-florida-202
How can I help you?,i'm making supper,activity,type,meal,068f9f61-b415-4c00-b950-52d5d85b82ed,1,2023-08-15 14:56:24 UTC,nysofa-rockland-0230
How can I help you?,i'm making supper,activity,name,making supper,068f9f61-b415-4c00-b950-52d5d85b82ed,1,2023-08-15 14:56:24 UTC,nysofa-rockland-0230
"Hey, what about you , what's a hobby that you like to do throughout the week?",i go to the movies,activity,type,leisure,06b5d716-2765-4894-861b-dd337e9582fc,1,2023-08-15 14:56:24 UTC,broward-florida-0050
"Hey, what about you , what's a hobby that you like to do throughout the week?",i go to the movies,activity,name,movies,06b5d716-2765-4894-861b-dd337e9582fc,1,2023-08-15 14:56:24 UTC,broward-florida-0050
How can I help you?,i'm going to go take a little walk,activity,type,physical activity,06bf9c60-97dc-493d-b3d4-15f9027b23a8,1,2023-08-15 14:56:24 UTC,nysofa-rockland-0230
How can I help you?,i'm going to go take a little walk,activity,name,walk,06bf9c60-97dc-493d-b3d4-15f9027b23a8,1,2023-08-15 14:56:24 UTC,nysofa-rockland-0230
Are you going to meet someone?,no we're going for a walk,activity,type,physical activity,06e89354-31b0-4b0a-be1e-9d94f7897f51,1,2023-08-15 14:56:24 UTC,ga-northcarolina-0185
Are you going to meet someone?,no we're going for a walk,activity,name,walk,06e89354-31b0-4b0a-be1e-9d94f7897f51,1,2023-08-15 14:56:24 UTC,ga-northcarolina-0185
Is there anything special planned for today?,church and visit my mother,activity,type,religious activity,073f85a6-1189-4b35-8ced-fd56db87d60a,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0153
Is there anything special planned for today?,church and visit my mother,activity,name,church,073f85a6-1189-4b35-8ced-fd56db87d60a,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0153
Is there anything special planned for today?,church and visit my mother,activity,type,visit,073f85a6-1189-4b35-8ced-fd56db87d60a,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0153
Is there anything special planned for today?,church and visit my mother,activity,name,visit mother,073f85a6-1189-4b35-8ced-fd56db87d60a,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0153
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,activity,type,meal,076812a1-42c2-42a8-ad34-7bd918d981b4,1,2023-08-15 14:56:24 UTC,eqc-florida-216
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,activity,name,dinner,076812a1-42c2-42a8-ad34-7bd918d981b4,1,2023-08-15 14:56:24 UTC,eqc-florida-216
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,food,type,pot pie,076812a1-42c2-42a8-ad34-7bd918d981b4,1,2023-08-15 14:56:24 UTC,eqc-florida-216
"I’m wondering, are you meeting up with anyone?",no just going grocery shopping,activity,type,shopping,0801f60b-523c-4118-b80a-d04f743ac351,1,2023-08-15 14:56:24 UTC,eqc-florida-216
"I’m wondering, are you meeting up with anyone?",no just going grocery shopping,activity,name,grocery shopping,0801f60b-523c-4118-b80a-d04f743ac351,1,2023-08-15 14:56:24 UTC,eqc-florida-216
Do you have anything special planned for today?,yes i'm going walking,activity,type,physical activity,0823f61e-55f4-4808-a90b-0ea687c730a5,1,2023-08-15 14:56:24 UTC,ecumen-sav-039
"oh no, what made it a bad day?",the doctor told me i'm going blind,event,type,doctor appointment,08a8b92d-16d6-405d-b298-202bc37649dd,1,2023-08-15 14:56:24 UTC,eqc-wash-201
"oh no, what made it a bad day?",the doctor told me i'm going blind,health,issue,going blind,08a8b92d-16d6-405d-b298-202bc37649dd,1,2023-08-15 14:56:24 UTC,eqc-wash-201
"Oh, that sounds important. Which day is that for?",i'm going to give you all of my doctor's appointment for the month of february,activity,type,doctor's appointment,08b67073-cb08-4155-bfe9-35f04219c33f,1,2023-08-15 14:56:24 UTC,ga-mississippi-0196
Got any plans today?,yeah i got to go to the store,activity,type,activity,08cadc74-896c-4cd6-a5ff-d3cc4f3c0c9d,1,2023-08-15 14:56:24 UTC,nysofa-delaware-0198
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,activity,type,physical activity,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,1,2023-08-15 14:56:24 UTC,eqc-florida-202
"I’m wondering, are you meeting up with anyone?",no we're just going for a short walk,activity,name,short walk,08f4a961-bae1-4f56-aa2c-8f57f7ea3553,1,2023-08-15 14:56:24 UTC,eqc-florida-202
What do you plan on doing?,gardening,activity,type,gardening,08f6d402-c896-4645-ba86-e8b231c683b8,1,2023-08-15 14:56:24 UTC,nysofa-delaware-0175
Do you have any plans for tomorrow?,yes i'm going to go visit a sister and meet one of my girlfriends at 4,activity,type,visit,09226c81-bf07-4d3b-a7c6-37256487755f,1,2023-08-15 14:56:24 UTC,eqc-indiana-151
How can I help you?,baseball games,activity,type,sports,092c745e-1485-4840-a7cd-3bc8619ca0c9,1,2023-08-15 14:56:24 UTC,cabhi-groupc-025
How can I help you?,baseball games,activity,name,baseball games,092c745e-1485-4840-a7cd-3bc8619ca0c9,1,2023-08-15 14:56:24 UTC,cabhi-groupc-025
"Hay <say-as interpret-as=""name"">Sheila</say-as>! What can I do for my favorite human?",i wish i could fix this tv so i can look at it i'm trying to look at pbs but i can't get it,activity,name,fixing tv,096a19de-db4d-43e1-950e-03da02a4d961,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0145
I didn't get around to fully introducing myself. Do you have time now?,no i'm going to church,activity,type,social event,09c239b0-05a5-4234-bdd5-688e4270edb4,1,2023-08-15 14:56:24 UTC,talcott-il-0004
How can I help you?,my name is josiah what my favorite color is green what's your name,personal_information,name,Josiah,09ecee81-42a5-4c65-bafd-667cefd6d86f,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0059
"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",for walk,activity,type,physical activity,0a110fe0-f134-46f7-bee0-f99a12056270,1,2023-08-15 14:56:24 UTC,nysofa-schuyler-0274
"So <say-as interpret-as=""name"">Richard</say-as>, tell me all about your adventure outside. Where did you go?",for walk,activity,name,walk,0a110fe0-f134-46f7-bee0-f99a12056270,1,2023-08-15 14:56:24 UTC,nysofa-schuyler-0274
"Wonderful, what’s on the agenda today?",going to lunch with my friends,relationship,type,friends,0a16091f-a373-45c9-97b3-76178e07c554,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0018
"Wonderful, what’s on the agenda today?",i'm going to church with my sister,activity,type,social activity,0a49e390-33ce-4a5c-82f1-4cbcd6099fdc,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0111
"Wonderful, what’s on the agenda today?",i'm going to church with my sister,activity,name,going to church,0a49e390-33ce-4a5c-82f1-4cbcd6099fdc,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0111
how's your day going so far?,it's going great i'm taking my dog for a walk,activity,type,physical activity,0a986aa7-7f42-452a-93d0-8b70e2a1a42e,1,2023-08-15 14:56:24 UTC,ga-northcarolina-0185
are you free to talk for a moment?,i'm leaving work,activity,name,leaving work,0aaa229d-4cda-44aa-a85c-900e27cecd31,1,2023-08-15 14:56:24 UTC,nysofa-suffolk-0046
"Just out of curiosity, What was the one thing that made you happy this week?",no work,emotion,type,happiness,0b335ce6-82e9-47e7-97c5-0109eb570d10,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0119
"Just out of curiosity, What was the one thing that made you happy this week?",no work,activity,name,no work,0b335ce6-82e9-47e7-97c5-0109eb570d10,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0119
Do you have anything special planned for today?,yes i'm going to church,activity,type,religious activity,0b4086e0-baa9-44db-afa7-ad0485896825,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0037
Do you have anything special planned for today?,yes i'm going to church,activity,name,going to church,0b4086e0-baa9-44db-afa7-ad0485896825,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0037
How can I help you?,i like to draw,activity,type,hobby,0b54db7d-dfe0-449c-b804-0ff06a5d8606,1,2023-08-15 14:56:24 UTC,ga-tenn-0211
How can I help you?,say hello to my friend narendra,person,name,Narendra,0b87751f-3435-47c0-ac02-bb717e950c60,1,2023-08-15 14:56:24 UTC,broward-florida-0012
"Great, what are your plans?",the doctor's office,place,name,doctor's office,0b8908f0-9b66-4550-a4d2-96e13ae2a327,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0187
How can I help you?,say hi to my daughter natasha,relationship,name,Natasha,0ba14bd4-5ef0-4ab0-a37f-4e6f91d89786,1,2023-08-15 14:56:24 UTC,o3a-wash-0020
"That's lovely, what are your plans?",go to a meeting,activity,name,attending a meeting,0bbf6b53-2f82-4ef0-90e5-dabcf41bced8,1,2023-08-15 14:56:24 UTC,eqc-florida-187
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,name,lunch,0bd0d184-d02c-4c79-abb8-02d4606a0d88,1,2023-08-15 14:56:24 UTC,ga-arizona-0194
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,type,personal care,0bd0d184-d02c-4c79-abb8-02d4606a0d88,1,2023-08-15 14:56:24 UTC,ga-arizona-0194
Do you have any plans for today?,i'm going to lunch and i'm going to get my hair done,activity,name,hair appointment,0bd0d184-d02c-4c79-abb8-02d4606a0d88,1,2023-08-15 14:56:24 UTC,ga-arizona-0194
How can I help you?,i have to go to the doctor so i'm going out for a few hours okay,activity,type,going out,0c29cba2-37ca-4732-a248-b1cfa520a0ae,1,2023-08-15 14:56:24 UTC,nysofa-delaware-0175
How can I help you?,i'm going to a doctor's appointment in a few minutes,activity,type,appointment,0c38d7c4-99ef-4b7e-97bb-97a267947620,1,2023-08-15 14:56:24 UTC,eqc-texas-002
How can I help you?,i'm going to a doctor's appointment in a few minutes,activity,name,doctor's appointment,0c38d7c4-99ef-4b7e-97bb-97a267947620,1,2023-08-15 14:56:24 UTC,eqc-texas-002
should we play a round of trivia together?,i'm going to go for a run,activity,type,physical activity,0c58c444-a4e7-43a4-97dd-99be7d63ce89,1,2023-08-15 14:56:24 UTC,ga-ny-0221
should we play a round of trivia together?,i'm going to go for a run,activity,name,running,0c58c444-a4e7-43a4-97dd-99be7d63ce89,1,2023-08-15 14:56:24 UTC,ga-ny-0221
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,place,name,doctor's office,0c6fb887-bd01-470f-97f5-4bd5475db434,1,2023-08-15 14:56:24 UTC,eqc-florida-210
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,activity,type,visit,0c6fb887-bd01-470f-97f5-4bd5475db434,1,2023-08-15 14:56:24 UTC,eqc-florida-210
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",we are on the way to the doctor's office,activity,name,going to the doctor,0c6fb887-bd01-470f-97f5-4bd5475db434,1,2023-08-15 14:56:24 UTC,eqc-florida-210
"Sometimes, I like to pretend that the facts I know are actually highly guarded state secrets. So, what do you say I let you in on a fun fact.",well i'm getting ready now to go out to the hair dresses and then i'll be back in the early at pump mid-afternoon but right now i'm going to have some breakfast,activity,type,personal care,0c738f2e-ad89-4841-82a9-222082350b45,1,2023-08-15 14:56:24 UTC,fd-mass-004
Is this a convenient time?,making dinner,activity,type,meal,0c83233e-599c-4490-b474-efb23697af12,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Is this a convenient time?,making dinner,activity,name,making dinner,0c83233e-599c-4490-b474-efb23697af12,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Is there anything special planned for today?,yes i'm going to the doctor now,activity,type,appointment,0c8e2843-3a33-43be-a3d9-ec2fedabf5ca,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0271
Is there anything special planned for today?,yes i'm going to the doctor now,activity,name,doctor visit,0c8e2843-3a33-43be-a3d9-ec2fedabf5ca,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0271
"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",no i'm going to the doctor's i won't be back until about 2,place,name,doctor's,0cb8dfee-ddf3-48d8-a3df-1b1b2f357f4f,1,2023-08-15 14:56:24 UTC,nysofa-livingston-0078
"I'd love to spend some time together, how about it <say-as interpret-as=""name"">James</say-as>?",no i'm going to the doctor's i won't be back until about 2,activity,type,appointment,0cb8dfee-ddf3-48d8-a3df-1b1b2f357f4f,1,2023-08-15 14:56:24 UTC,nysofa-livingston-0078
How can I help you?,i have to go out to a doctor's appointment,activity,type,appointment,0cc7801c-f786-409f-9615-9f228d60c3b4,1,2023-08-15 14:56:24 UTC,nysofa-tompkins-0339
How can I help you?,i have to go out to a doctor's appointment,place,name,doctor's office,0cc7801c-f786-409f-9615-9f228d60c3b4,1,2023-08-15 14:56:24 UTC,nysofa-tompkins-0339
Is there anything special planned for today?,medical appointment,activity,type,medical appointment,0cda49e1-baa7-44f2-b2e0-f70f7df66f37,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0059
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to the gym.,activity,type,physical activity,0ce317a1-91cd-428d-8b6f-0fa81d51f77f,1,2023-08-15 14:56:24 UTC,eqc-scarolina-310
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to the gym.,activity,name,going to the gym,0ce317a1-91cd-428d-8b6f-0fa81d51f77f,1,2023-08-15 14:56:24 UTC,eqc-scarolina-310
"So, I've gotta ask. What was the best thing that happened to you this week?",i got to talk to my daughter,activity,type,communication,0ce53ea2-fd61-48f1-8d5b-580387ecca3d,1,2023-08-15 14:56:24 UTC,eqc-iowa-160
"So, I've gotta ask. What was the best thing that happened to you this week?",i got to talk to my daughter,activity,name,talking to daughter,0ce53ea2-fd61-48f1-8d5b-580387ecca3d,1,2023-08-15 14:56:24 UTC,eqc-iowa-160
