elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,0192f581-aae8-446f-8871-d4042da99422,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9779680371284485
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,01a04fac-af6d-4c17-b253-e104d5885c0d,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9727510213851929
"I know that you call this lady miss liberty, but what is her story?",he was made by a french artist and given to its and she's in new york city and she was a gift from the people of france,01b9d590-a0cc-469d-9d2a-7b8b99137ee8,"  memory_name entity value
1       place   name  York",['York'],1,Match,0.8061099052429199
"I’m wondering, are you meeting up with anyone?",yes my doctor,01c0ff9f-065f-40d5-960f-d4e43e638ded,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.9908474683761597
How can I help you?,say hello to my friend christy,01f50dd7-c6b3-4642-ba66-c46c23097d78,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.5415864586830139
How can I help you?,i have two daughters,020fb6d8-1a42-4140-8700-b154a1bada04,"    memory_name entity      value
0  relationship   type  daughters",['daughters'],1,No match,0.37286877632141113
How can I help you?,i'm going to take your advice and go out for a walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9801904559135437
are you free to talk for a moment?,cute i'm on my way to lunch,022ed2dc-67b5-4f8f-896a-9deffe263626,"  memory_name entity  value
1       place   name  lunch
2    activity   type   meal
3    activity   name  lunch",['lunch'],1,Match,0.9479682445526123
Was today another great day for you?,play i get to go outside is a great day,02379d79-a467-48d7-b4c8-26b14f53db3a,"  memory_name entity     value
1    activity   type  activity
2    activity   name      play",['play'],1,Match,0.9135491251945496
"OK, question for ya. What was one thing that pleasantly surprised you this week?",their son net worth,023c737c-758f-4ea4-bf68-955bc9c131d8,"    memory_name entity value
0  relationship   type   son",['son'],1,No match,0.05501479655504227
How can I help you?,and it went i'm mark.,0246c8d4-1eb0-43e2-a318-870fe83105cd,"  memory_name  entity value
1       place  people  Mark",['Mark'],1,No match,0.041044898331165314
I was wondering if you had a moment?,call meeting,026d4757-5c52-4fdb-b888-8b5a8d6d41d8,"  memory_name entity     value
0    activity   type  activity
1    activity   name   meeting",['meeting'],1,No match,0.048584047704935074
How can I help you?,a grilled cheese sandwich for dinner tonight,026ea1b2-6827-445e-8326-9c8606cdef34,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9753290414810181
"This work by Camille Pissarro is called: ‘Two women chatting by the sea’. Where in the world is it set?, Choose from: option one: Saint Thomas, two: Tahiti, or three: Bermuda",and think they could happened and saying they're the pool comes from a bridge,02818295-4d8a-4ddb-86a6-d90286323982,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.05538349971175194
How can I help you?,i'm going to go buy groceries,02a35e9b-f166-4a8c-a7d5-511c329ac13c,"  memory_name entity      value
1    activity   type   activity
2    activity   name  groceries",['groceries'],1,Match,0.9840503334999084
"what can i help you with <say-as interpret-as=""name"">Marie</say-as>?",nothing by dire i was just walking around,02ae10a3-2060-4371-9b87-c1b4fde0b0dd,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name            walking",['walking'],1,No match,0.5505714416503906
Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,02d1abbb-1ed8-458e-88eb-9337c82a9ca3,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.9584798812866211
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,"  memory_name entity          value
1       place   name  grocery store",['grocery store'],1,Match,0.977747917175293
How can I help you?,can you send my son a text,02ecb79a-451a-4168-9bbc-d5224c25d5f5,"    memory_name entity value
0  relationship   type   son",['son'],1,No match,0.6867873072624207
how's your day going so far?,pretty good i went to church i went to church this morning,02fd2bb9-ee9e-4553-84b2-f8b422274a9e,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9904540777206421
Do you want to workout together?,about to meet the future in-laws,030a0d7b-e138-42db-99ad-bde700ee1c7b,"  memory_name entity     value
0    activity   type  activity
1    activity   name   meeting",['meeting'],1,No match,0.04207129776477814
Is there anything special planned for tomorrow?,grocery shopping,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.965170681476593
"Oh, are you heading out now?",and a few i'm going to the doctor,0328c848-db6b-4bfb-9847-2233fb22ce5a,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.9504051804542542
Want to go for one last round?,one last run,0336b930-19d9-4b8c-a4c1-e74f035a0adf,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name            running",['running'],1,Match,0.9316257834434509
Is this a convenient time?,when i'm in a place where i feel really class,0355c180-7014-48a2-99ee-7f10203fb3d6,"  memory_name entity     value
1    activity   type  activity
2    activity   name     class",['class'],1,No match,0.04262591525912285
How can I help you?,all right i have to run okay,03560e12-7fa7-405c-bfcb-59005feac9be,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name            running",['running'],1,No match,0.06549181044101715
How can I help you?,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,03622500-50f6-468f-ab8c-7100dc4f4c52,"  memory_name entity     value
1    activity   type  activity
2    activity   name     class",['class'],1,No match,0.06022138521075249
Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,036f68ce-d8ac-446b-ad35-72b05e489191,"  memory_name entity value
1       place   name  yard",['yard'],1,Match,0.9928430318832397
Do you have anything planned for tomorrow?,yes i'm going to church in the morning,039a8019-8a9a-4d75-8cf6-db818b2fa64b,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.9939788579940796
How can I help you?,i'm back from lunch,03b73671-49ad-44ed-a865-69af892b7f8b,"  memory_name entity  value
1       place   name  lunch
2    activity   type   meal
3    activity   name  lunch",['lunch'],1,Match,0.9672781825065613
How can I help you?,that's why you smell the febreze in here smells like dead roses spray that kills the munchies,03bbf265-d1fb-48ca-a23a-4781e36c901a,"  memory_name entity   value
0    favorite   type  flower
1    favorite   name    Rose",['Rose'],1,No match,0.041529927402734756
are you available right now?,crocheting so my legs and,03c05bfa-cc2c-4a37-b892-6d706c7b45bd,"  memory_name entity       value
0    activity   type     hobbies
1    activity   name  crocheting",['crocheting'],1,No match,0.04404591768980026
Is now a good time to hang out?,so i'm kind of there's a parade today on television,03ce5925-a40a-48c9-8a7e-b0f1e0651903,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,No match,0.1473463475704193
How can I help you?,can you say hello to my friend solomon,03d125f2-eeaf-4792-896e-e8c866a22319,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,Match,0.8136519193649292
How can I help you?,something i like is science but outer outer space stuff,03d2e074-a316-48dd-b5c1-1ad6ca5ed667,"  memory_name entity           value
0    favorite   type  school_subject
1    favorite   name         science",['science'],1,No match,0.4732604920864105
Do you have any important plans for tomorrow?,visit my sister in the hospital,03d8e7ec-744b-40b6-a7d0-7aef1e17d6cc,"    memory_name entity   value
0  relationship   type  sister",['sister'],1,Match,0.9156917333602905
"Lovely, what are you up to today?",going for a walk,03e6daaf-45d9-4079-8745-92dc8718cacb,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9859781861305237
Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,03f33106-b3dc-4fa3-8732-38d395025542,"  memory_name entity          value
1       place   name  church,church","['church,church']",1,Match,0.9580754637718201
Is now a good time?,no my daughter is coming we're going shopping,042dd828-fb16-4ab3-a910-90e3128f3e00,"    memory_name entity     value
1      activity   type  activity
2      activity   name  shopping
3  relationship   type  daughter","['shopping', 'daughter']",2,Match,0.9758341312408447
"How wonderful, what are your plans for today?",lunch with friends,04373049-ddb4-4e30-9005-fc9a8104fdc3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   friends",['friends'],1,Match,0.9457957744598389
Would you like to play again?,i'm going for breakfast no i'm going for breakfast right now i'll be back,044e186b-f923-4baf-93bf-6b38c9d10d92,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.9879873991012573
Would you like to hear a bible quote?,so when the afternoon so they keep the appointment then at 11 for the,04579685-78d6-4148-bf5e-30d2defd92b2,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,No match,0.04402346536517143
Do you have any plans for today?,i have to go to work,0459d386-ef3c-41a4-ae9c-d54092324508,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9791718125343323
How can I help you?,i mean green grass with me and my daughter and some sunshine,0466258f-144a-45b3-b2a8-3139f2c48601,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.13701768219470978
"I was wondering, have you eaten anything yet?",i want federer everywhere last year,0468409d-de0b-4307-bad0-9149fd46db6d,"  memory_name entity              value
0    activity   type  physical_activity",['physical activity'],1,No match,0.06079929322004318
"Which one of the following rhythm games was made by Harmonix?. Meat Beat Mania, Rock Band, or Guitar Hero Live",let me mania meet beat,04712fae-ed0e-4fb8-93b6-44a79d159702,"  memory_name entity     value
0    activity   type  activity
1    activity   name   meeting",['meeting'],1,Match,0.7756336331367493
Wanna hit the road and take a fun trip with me?,i'd like to take a trip but i want to know where i'm going,04715468-c015-4422-91ed-1308146e27a6,"  memory_name entity     value
1    activity   type  activity
2    activity   name      trip",['trip'],1,Match,0.8906612396240234
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i just have to work today honey i'll take it slow,0474fc7f-29b8-4404-968b-799717345894,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9693255424499512
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",my friend louise,048e8d72-5d3e-47ea-b952-304d56912fad,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.3723416328430176
Do you have any important plans for today?,yes i'm going to work in a few minutes,04966987-ddda-48a5-8023-51cae4f477f8,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9941850304603577
How can I help you?,meet my friend emily say hello to emily,0498ae4b-9292-4b6d-b889-934de4061ba6,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.6016741991043091
Got anything important planned today?,yes i'm going out today i'm going shopping at like you,04a461f8-7553-4769-acd6-30e21a70f176,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.97984778881073
How about some time together?,not now i'm going to be calling a friend,04bebc22-a713-4278-a90d-1e848997e14c,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9926853179931641
Um... Yes?,say hello to my brother,04d2c7f7-fdcf-47e4-a589-45dc117195f0,"    memory_name entity    value
0  relationship   type  brother",['brother'],1,Match,0.8263965845108032
What did you say?,what trip we going to go,04d7cd45-3a58-47a0-a42a-5ca2dd8ea831,"  memory_name entity     value
1    activity   type  activity
2    activity   name      trip",['trip'],1,No match,0.6889126300811768
How can I help you?,i'm finished talking to my sister yeah,04f52bc3-2316-4900-812c-35f5c6331011,"    memory_name entity      value
0  relationship   type  my sister",['my sister'],1,Match,0.929806649684906
How can I help you?,i have to go out to the doctors i'll see you in a couple hours,05151705-1d5a-4d72-aa7a-59408ab8e796,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.9797784090042114
How can I help you?,credit card this weekend,05178113-4a88-48ca-bf0c-72cf705372b1,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name     card",['card'],1,No match,0.31045976281166077
What can I do for you?,let's do another painting,0517e1e6-f2d6-47c4-ac6e-4be25d54e93a,"  memory_name entity     value
0    activity   type   hobbies
1    activity   name  painting",['painting'],1,Match,0.9503921866416931
Do you have any plans for today?,yes i do i'm going shopping,051b4d49-296a-4ae8-8aa4-2b729839cd3e,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9942329525947571
"The pipes, the pipes are calling. Would you like to sing Danny Boy with me?",show business hours for sammy davis jr.,053d123e-dcc0-44c2-b705-60b4167c62ba,"  memory_name entity     value
0    activity   type  activity
1    activity   name   theater",['theater'],1,No match,0.33005526661872864
"I'm not sure I understood, do you want to call someone?",why would a bank of america customer,05471253-c690-401f-a6e1-e0468f0f3e8d,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.10871561616659164
Is now a good time?,bella thorne funeral home,056aac6b-9021-4aa7-9abf-d622ab95c0f9,"  memory_name entity    value
1       place   name  funeral",['funeral'],1,No match,0.04563632234930992
Do you have anything special planned for today?,i'm getting ready to go to the doctor doctor appointment,056f0600-ed64-49c6-ab85-6277425106f8,"  memory_name entity          value
1    activity   type       activity
2    activity   name  doctor,doctor","['doctor,doctor']",1,Match,0.9832007884979248
How can I help you?,and it grows this is my new friend kelly so she's a super bowl job she actually is,057976ee-e834-4fc8-b202-09f3ea937e58,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.041801467537879944
Leaving So soon? Where are you going?,to pick up my kid,0582db95-2afb-4949-954a-bf7144bf35dd,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,Match,0.9722800850868225
How can I help you?,meet my friend coco,059807f8-c9e4-4e02-b7bb-1bf528934019,"  memory_name entity     value
0    activity   type  activity
1    activity   name   meeting",['meeting'],1,No match,0.3500601351261139
Wish I could join you. Are you meeting up with anyone?,no i'm just taking the dog out,05aa4968-52a6-433a-abc2-678bf62718a7,"  memory_name  entity value
1       place  people   dog",['dog'],1,Match,0.9925507307052612
Wanna hear a short story?,my most important kitchen tool library,05ae5f7c-45c1-4da8-afe5-f03b3fa03c24,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.0460839569568634
"<say-as interpret-as=""name"">Jack</say-as>, whaddya say we do something together?",i'm watching tv will do something later,05bbdfd1-0992-457e-b4c1-d4866e4ca998,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9855464696884155
That one was hilarious. Wanna hear another?,i like mine with cream cheese,05c0249a-9e67-4857-8291-27f382b68439,"  memory_name entity         value
0    favorite   type  food_product
1    favorite   name        cheese",['cheese'],1,No match,0.6555207967758179
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to work on being more grounded,05c8d710-0708-41de-a772-6cf598858f5b,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9050159454345703
Should we try a gratitude exercise together?,office depot,05d6740d-86d9-41a3-8502-650109b6aab6,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,No match,0.04467298462986946
Can’t wait to see you again! Where are you off to?,for a swim,060c5fa5-df63-494c-960d-652cc1adf5cb,"  memory_name entity              value
1    activity   type  physical_activity
2    activity   name           swimming",['swimming'],1,Match,0.9887469410896301
How can I help you?,we're going to go to the drugstore and get what i need,061cfeb3-acc5-472a-b9e4-9c101d26a0bd,"  memory_name entity      value
1       place   name  drugstore",['drugstore'],1,Match,0.8976193070411682
"I was wondering, do you like reading your daily horoscope?",i do accept it right now i want to watch the news okay,061dff39-e58e-468b-8467-f624205901be,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9436016082763672
How can I help you?,keith is the evil son,061e918d-d440-4e86-a3c9-4e58abb534f0,"    memory_name entity value
0  relationship   type   son",['son'],1,No match,0.05568772926926613
I really wanna know about your day. How's it been so far?,well i was told and i left the hospital last night don't go out,06259904-082f-4978-8a4b-f445a5670a1a,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.16524647176265717
How can I help you?,at the gym,063084fb-9716-45d4-b1e8-92bb7d76f1cc,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name                gym",['gym'],1,Match,0.9815396666526794
How may I help?,ashley stride diagonal do what she does,0635750a-93c5-4c9e-bded-ee890563c936,"Empty DataFrame
Columns: [memory_name, entity, value]
Index: []",[],0,No match,0.04226307570934296
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,063f32a7-8275-431d-8184-db6862efa41d,"  memory_name entity   value
1       place   name  church",['church'],1,Match,0.9918485879898071
How about we do something else then?,i'm watching the news on tv,0658a373-d195-42e0-8601-1fa66809bc5f,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9845544695854187
How can I help you?,i'm here with my friend bridgette,0658d56c-053a-4123-8ddb-bfc5ffa3f723,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,Match,0.86506587266922
How can I help you?,goodbye i'm going out for a walk now,065ef96a-aa11-47a4-88dd-770aa27b80a3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9852815270423889
Um... Yes?,i'm okay right now i'm watching the tv show so can we save it till later,06621ed4-bb47-446f-b0f8-8ef6118c1bb0,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9833346009254456
Um... Yes?,my husband passed away in march and i'm still sad,0671ca39-7afc-445b-9a60-68ee35ba088f,"    memory_name entity    value
0  relationship   type  husband",['husband'],1,No match,0.1696569323539734
How can I help you?,i'm going to the pool now,067b46ec-db69-45ac-b31a-d5c2497fa1e4,"  memory_name entity value
1       place   name  pool",['pool'],1,Match,0.9859821796417236
How can I help you?,i went out yesterday,0682c1c9-b3c4-4794-8872-361fcd43735b,"  memory_name entity              value
0    activity   type  physical_activity",['physical activity'],1,Match,0.9649498462677002
How can I help you?,i'm making supper,068f9f61-b415-4c00-b950-52d5d85b82ed,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9886647462844849
Are you going on an adventure? Where are you off to?,i'm just going to go for a drive in the neighborhood,0695b7a0-0282-439b-b00c-816b3137e7ca,"  memory_name entity         value
1    activity   type      activity
2    activity   name       driving
3       place   name  neighborhood","['driving', 'neighborhood']",2,Match,0.9853765368461609
How can I help you?,i don't know if my favorite food is,06ad9e28-0252-4f8b-b727-91da8a8101bd,"  memory_name entity                   value
0    favorite   type  venue_eating_out_chain
1    favorite   name                     don",['don'],1,Match,0.8400068283081055
"Hey, what about you , what's a hobby that you like to do throughout the week?",i go to the movies,06b5d716-2765-4894-861b-dd337e9582fc,"  memory_name entity     value
1    activity   type  activity
2    activity   name     movie",['movie'],1,Match,0.9814558029174805
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to go shopping,06be0df6-74c6-44c6-8957-ab4befedc7db,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9806248545646667
How can I help you?,i'm going to go take a little walk,06bf9c60-97dc-493d-b3d4-15f9027b23a8,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9875614643096924
What's your favorite kind of physical exercise?,arundel mall walking walking i light to work it,06da46b7-ca1b-4d3e-91f9-aa3c4065d503,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.8564932346343994
What's cooking good looking? How can I help?,i got this mountain bike for only $11,06db33d4-3b0a-4f03-9a16-fde27396631e,"  memory_name entity              value
0    activity   type  physical_activity
1    activity   name             biking",['biking'],1,No match,0.32336822152137756
Do you have anything special planned for tomorrow?,i'm going to go to the credit union and the library,06e5febd-869b-4b50-bc40-cf2ecfc53b2a,"  memory_name entity    value
1       place   name  library",['library'],1,Match,0.9730451703071594
Are you going to meet someone?,no we're going for a walk,06e89354-31b0-4b0a-be1e-9d94f7897f51,"  memory_name entity     value
1    activity   type  activity
2    activity   name   walking",['walking'],1,Match,0.9944932460784912
Is there anything special planned for today?,church and visit my mother,073f85a6-1189-4b35-8ced-fd56db87d60a,"    memory_name  entity   value
0  relationship    type  mother
2         place  people  mother",['mother'],1,Match,0.8974128365516663
How can I help you?,so she need i'll find out if she's going to take me to the doctor today at 4 she's going to pick me up about 3 i think i didn't get an answer so she may still be sleeping or she may have gone to the doctor one of the other she would have told you,074cdda9-4c96-4cb3-be8f-26aff17b5cae,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,No match,0.04323195666074753
My ears (or microphones I guess) must be malfunctioning. I didn't quite understand that. What did you eat for dinner?,i had a pot pie,076812a1-42c2-42a8-ad34-7bd918d981b4,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9893149137496948
How can I help you?,we have enough people in the world that elliq can you say hello to our friends scott,07728efb-0ac6-4c65-8767-5f4946ef6326,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.07612062245607376
Do you wanna spend some time together?,i'm going to talk to my doctor about,07797b8e-a4b9-4926-b2dc-20b11b6830b3,"  memory_name entity     value
1    activity   type  activity
2    activity   name    doctor",['doctor'],1,Match,0.8466365933418274
Did you get a chance to do reading this week despite the pain you were feeling?,oh yes i've done a lot of reading,07a6b07d-9837-4905-8171-a1f1195663ed,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name  reading",['reading'],1,Match,0.9884568452835083
do you have a minute?,my kids are going to win anyway,07b537aa-468c-4c49-9462-0fba7e346ced,"    memory_name entity     value
0  relationship   type  children",['children'],1,No match,0.045427870005369186
"I'm curious, is there any other word that could describe how you're feeling at the moment?",okay i want to watch tv,07c6561f-7b74-4170-8f9c-168c8376fd02,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9690678715705872
Wanna do something together?,he pulled a bank holiday in the middle,07dd8cee-fb02-4996-b83a-162565eeda49,"  memory_name entity value
1       place   name  bank",['bank'],1,No match,0.042786721140146255
